snp_index,position,Diversity_Hawaiian-population,Diversity_non-Hawaiian_population,CHROM,Fst
1523,240585,3.42E-04,6.71E-05,I,0.243690648
1524,240739,3.42E-04,6.63E-05,I,0.244074627
1524,240739,3.42E-04,6.63E-05,I,0.244074627
1525,240877,3.33E-04,6.63E-05,I,0.24814702
1526,240912,3.24E-04,6.54E-05,I,0.25277738
1529,241151,3.05E-04,6.46E-05,I,0.26215627
1529,241151,3.05E-04,6.46E-05,I,0.26215627
1531,241582,2.42E-04,5.13E-05,I,0.249230606
1535,241751,1.53E-04,5.97E-06,I,0.235091872
1542,242051,4.60E-06,0,I,0.011764706
1543,256948,4.60E-06,3.70E-05,I,0.222936114
1549,257524,1.39E-04,9.57E-05,I,0.286203365
1554,257866,2.45E-04,1.61E-04,I,0.308342729
1560,258406,4.11E-04,2.20E-04,I,0.294218575
1566,259097,6.02E-04,2.70E-04,I,0.280383779
1567,259268,6.11E-04,3.49E-04,I,0.275912102
1574,259706,7.19E-04,4.43E-04,I,0.259032952
1579,260238,7.84E-04,4.49E-04,I,0.249932846
1584,260656,9.53E-04,4.82E-04,I,0.239087027
1591,261974,0.001079945,5.32E-04,I,0.238910452
1596,262330,0.001149767,5.03E-04,I,0.234903402
1605,262933,0.001108181,5.11E-04,I,0.240165869
1613,263722,0.001044706,5.70E-04,I,0.234714896
1623,264880,0.001021724,5.17E-04,I,0.226384413
1631,265326,9.28E-04,4.81E-04,I,0.234007248
1635,265409,9.96E-04,4.06E-04,I,0.231925539
1649,267524,0.001091327,4.08E-04,I,0.252181797
1658,268285,0.001078413,4.13E-04,I,0.256284146
1666,269843,0.001011655,3.86E-04,I,0.270859372
1673,270383,8.84E-04,3.35E-04,I,0.275487004
1677,271983,8.10E-04,3.28E-04,I,0.283666251
1680,272118,7.17E-04,2.61E-04,I,0.271216492
1684,272242,7.24E-04,1.75E-04,I,0.273495857
1696,273350,7.27E-04,2.32E-04,I,0.26743164
1701,274024,6.96E-04,2.95E-04,I,0.234313131
1703,274133,6.19E-04,2.92E-04,I,0.23809388
1712,279183,4.63E-04,1.98E-04,I,0.212781178
1719,279495,4.46E-04,1.99E-04,I,0.20672221
1726,280155,4.47E-04,2.89E-04,I,0.20211895
1728,280420,4.89E-04,2.91E-04,I,0.199860034
1734,283358,5.22E-04,3.07E-04,I,0.190856348
1737,283686,5.53E-04,3.16E-04,I,0.184350706
1742,284634,5.61E-04,2.80E-04,I,0.154655246
1753,286235,4.47E-04,2.36E-04,I,0.135142101
1758,286764,4.28E-04,1.69E-04,I,0.159271336
1758,286764,4.32E-04,1.69E-04,I,0.158311708
1766,287862,5.68E-04,1.76E-04,I,0.165816415
1778,289807,7.57E-04,3.04E-04,I,0.184270356
1787,290861,7.43E-04,2.10E-04,I,0.166665126
1793,292536,8.02E-04,2.14E-04,I,0.185955549
1804,293066,9.34E-04,2.46E-04,I,0.207531703
1811,293416,9.71E-04,2.40E-04,I,0.205741863
1818,293862,9.62E-04,3.26E-04,I,0.210518974
1826,294687,0.00100684,3.97E-04,I,0.223652569
1836,296008,0.001113653,4.85E-04,I,0.235946581
1840,296520,0.001210834,4.91E-04,I,0.2402755
1851,297556,0.00121171,5.80E-04,I,0.248406533
1860,298719,9.88E-04,4.40E-04,I,0.258588583
1864,299670,8.99E-04,4.38E-04,I,0.265604658
1868,299829,7.98E-04,4.32E-04,I,0.260668344
1873,300185,6.34E-04,3.84E-04,I,0.259255222
1877,300349,5.66E-04,3.82E-04,I,0.270213895
1881,300559,5.17E-04,2.92E-04,I,0.282377043
1885,301043,4.40E-04,2.04E-04,I,0.284745204
1892,302045,2.86E-04,1.04E-04,I,0.277867258
1896,302223,1.84E-04,9.73E-05,I,0.272119109
1903,318242,3.15E-05,2.56E-06,I,0.025530631
1906,319392,5.91E-05,2.56E-06,I,0.019421182
1910,319648,7.75E-05,6.84E-06,I,0.016896392
1912,320199,9.59E-05,1.89E-05,I,0.016049676
1914,320480,1.60E-04,2.06E-05,I,0.193742085
1921,321201,2.63E-04,1.11E-04,I,0.218299069
1924,321873,2.80E-04,1.19E-04,I,0.208554265
1928,323085,3.03E-04,1.25E-04,I,0.198423424
1928,323085,3.08E-04,1.25E-04,I,0.196810478
1929,323118,3.08E-04,1.25E-04,I,0.196500544
1932,323385,2.81E-04,1.23E-04,I,0.20656394
1936,323776,2.58E-04,1.36E-04,I,0.211567475
1946,324437,3.47E-04,1.47E-04,I,0.209457524
1949,325326,3.29E-04,1.36E-04,I,0.219310896
1955,325869,2.97E-04,1.40E-04,I,0.170334429
1965,330276,3.06E-04,5.77E-05,I,0.157225786
1969,330686,2.97E-04,5.09E-05,I,0.16120233
1975,332418,2.88E-04,8.69E-05,I,0.176374086
1978,332683,3.34E-04,8.77E-05,I,0.168972838
1982,332975,3.61E-04,1.08E-04,I,0.156563479
1984,333447,4.50E-04,1.11E-04,I,0.167379626
1986,333576,4.46E-04,9.78E-05,I,0.170763743
1991,334523,3.38E-04,8.20E-05,I,0.170469967
1994,335966,4.47E-04,1.26E-04,I,0.176895522
2003,337228,4.61E-04,1.31E-04,I,0.172900003
2009,338157,3.58E-04,1.25E-04,I,0.148761831
2011,341513,3.49E-04,1.25E-04,I,0.151259685
2014,341821,3.94E-04,8.52E-05,I,0.188764058
2021,342372,3.82E-04,8.95E-05,I,0.189037169
2031,345604,5.10E-04,8.97E-05,I,0.202621214
2038,346746,4.98E-04,2.11E-04,I,0.218993377
2040,346820,5.50E-04,2.23E-04,I,0.215469563
2044,347222,5.82E-04,2.37E-04,I,0.206534244
2050,347532,5.00E-04,2.05E-04,I,0.200515629
2057,348226,5.13E-04,2.08E-04,I,0.206987584
2063,348635,5.54E-04,2.04E-04,I,0.20002541
2066,349475,5.59E-04,2.19E-04,I,0.196771636
2069,349691,5.13E-04,2.18E-04,I,0.169997211
2076,350339,5.11E-04,2.13E-04,I,0.168541956
2084,351875,3.57E-04,1.92E-04,I,0.158304908
2089,352921,2.74E-04,6.89E-05,I,0.082658329
2094,353573,2.85E-04,6.11E-05,I,0.127972597
2100,354185,2.57E-04,1.30E-04,I,0.176161756
2105,355422,2.57E-04,1.23E-04,I,0.178129432
2107,356486,1.99E-04,1.11E-04,I,0.184950584
2111,356925,1.49E-04,1.11E-04,I,0.209242597
2114,359794,1.44E-04,9.56E-05,I,0.220658434
2115,359863,1.31E-04,9.47E-05,I,0.230501559
2118,360173,9.43E-05,9.47E-05,I,0.260615998
2118,360173,9.43E-05,9.47E-05,I,0.260615998
2119,360610,9.43E-05,9.39E-05,I,0.261486456
2121,360943,3.15E-05,8.96E-05,I,0.215122545
2124,361590,3.15E-05,7.50E-06,I,0.007752081
2127,370772,4.60E-06,1.71E-06,I,0.009172798
2129,372008,2.74E-05,1.71E-06,I,0.018596166
2131,372276,7.27E-05,5.12E-06,I,0.124665829
2131,372276,7.27E-05,5.12E-06,I,0.124665829
2131,372276,7.27E-05,5.12E-06,I,0.124665829
2132,372384,7.73E-05,5.12E-06,I,0.119050896
2136,373562,2.67E-04,8.36E-05,I,0.143419326
2138,376921,3.35E-04,8.70E-05,I,0.185924206
2140,377467,4.42E-04,1.43E-04,I,0.180119874
2142,377573,4.96E-04,1.55E-04,I,0.202599917
2147,377706,5.37E-04,1.55E-04,I,0.193555727
2158,381234,7.56E-04,2.56E-04,I,0.230086401
2163,381932,7.64E-04,2.61E-04,I,0.222790915
2168,382137,8.43E-04,2.67E-04,I,0.218881623
2170,382151,9.05E-04,2.68E-04,I,0.224874823
2173,382224,9.24E-04,2.68E-04,I,0.22243119
2178,382633,7.43E-04,1.90E-04,I,0.239337164
2180,382686,6.75E-04,1.86E-04,I,0.228953965
2190,384405,7.63E-04,2.36E-04,I,0.201730615
2198,384889,8.72E-04,3.33E-04,I,0.185225621
2208,387196,9.90E-04,3.80E-04,I,0.207290551
2216,389216,7.49E-04,2.80E-04,I,0.177346657
2219,389315,6.96E-04,2.72E-04,I,0.185259377
2226,390021,6.71E-04,2.66E-04,I,0.185676485
2235,390799,7.98E-04,4.53E-04,I,0.169415389
2245,391300,9.19E-04,4.59E-04,I,0.171883687
2250,394791,0.001007497,4.72E-04,I,0.1706663
2260,395417,0.001373023,4.86E-04,I,0.197397919
2269,396195,0.001204706,3.81E-04,I,0.213224122
2276,396699,0.001036607,2.70E-04,I,0.221125514
2281,396949,8.77E-04,2.22E-04,I,0.206352421
2286,397406,9.78E-04,2.26E-04,I,0.197387772
2293,398165,0.001166402,2.28E-04,I,0.19156335
2298,398483,0.001202298,2.88E-04,I,0.190066038
2308,398733,0.001035951,9.96E-05,I,0.197128343
2323,402933,0.001023475,9.70E-05,I,0.190876107
2330,403404,9.35E-04,9.22E-05,I,0.193154988
2343,404774,6.24E-04,8.02E-05,I,0.122104661
2352,406610,7.26E-04,8.79E-05,I,0.14944807
2361,406894,9.09E-04,9.65E-05,I,0.165283538
2363,406944,9.74E-04,1.01E-04,I,0.16815918
2371,408325,9.27E-04,1.40E-04,I,0.17284095
2390,409963,9.91E-04,2.16E-04,I,0.162586783
2396,410406,9.28E-04,1.56E-04,I,0.158720499
2400,410732,9.10E-04,1.55E-04,I,0.160980107
2411,411864,8.53E-04,1.67E-04,I,0.161680758
2419,412974,0.001067469,2.29E-04,I,0.158146314
2429,413307,0.001148673,4.40E-04,I,0.162521705
2438,413887,0.0010342,4.32E-04,I,0.151703175
2448,414170,8.78E-04,4.26E-04,I,0.139021248
2453,416665,9.14E-04,5.11E-04,I,0.129179936
2461,417436,9.09E-04,5.56E-04,I,0.130480492
2482,418877,8.93E-04,5.27E-04,I,0.141881351
2490,421377,9.49E-04,6.56E-04,I,0.146991969
2495,422023,0.001107305,7.14E-04,I,0.157520317
2506,423073,0.001304295,7.28E-04,I,0.169357707
2517,423585,0.001125253,6.71E-04,I,0.170666162
2528,424788,0.00106725,5.00E-04,I,0.171190759
2538,425877,0.001256799,6.14E-04,I,0.183086782
2545,426075,0.001321806,6.17E-04,I,0.182553966
2556,427074,0.001412421,5.36E-04,I,0.196675784
2567,428503,0.001519234,4.69E-04,I,0.196759222
2588,429887,0.001737456,5.06E-04,I,0.204010177
2593,430277,0.001653625,3.76E-04,I,0.207862166
2598,430712,0.001491218,3.18E-04,I,0.205744211
2605,431249,0.001219371,2.88E-04,I,0.20358193
2620,432449,0.001334282,2.97E-04,I,0.198678291
2627,432803,0.001410233,3.93E-04,I,0.204002358
2644,433491,0.001519891,3.82E-04,I,0.197543637
2658,437181,0.001621012,4.17E-04,I,0.191759227
2675,437916,0.001737456,5.10E-04,I,0.186845151
2686,439096,0.001727387,5.95E-04,I,0.172833321
2701,440147,0.001405855,5.55E-04,I,0.159216235
2703,440298,0.001415048,5.56E-04,I,0.158573175
2706,440435,0.001459261,5.63E-04,I,0.155942627
2706,440435,0.001459261,5.63E-04,I,0.155942627
2725,441415,0.001544843,5.72E-04,I,0.167559064
2740,442895,0.001621669,5.88E-04,I,0.161283344
2752,445552,0.001410233,5.42E-04,I,0.158763801
2764,447544,0.001308235,5.21E-04,I,0.165602484
2774,447990,0.001019316,4.19E-04,I,0.157109438
2778,448204,8.74E-04,3.14E-04,I,0.182477054
2782,448276,7.40E-04,2.68E-04,I,0.185990525
2783,448325,7.31E-04,2.67E-04,I,0.187438225
2786,448463,6.87E-04,2.60E-04,I,0.19410257
2786,448463,6.87E-04,2.60E-04,I,0.19410257
2795,448909,4.42E-04,2.31E-04,I,0.186929977
2807,450010,2.11E-04,7.63E-05,I,0.205677123
2811,450587,1.09E-04,1.75E-05,I,0.184296324
2815,451356,1.77E-05,0,I,0.047058824
2817,526247,0,8.57E-07,I,0.002150538
2818,527924,4.38E-05,2.56E-06,I,0.137706588
2824,528214,1.72E-04,2.89E-05,I,0.119114653
2831,528944,3.82E-04,1.11E-04,I,0.167109169
2837,529239,5.01E-04,1.80E-04,I,0.165194668
2841,529731,5.83E-04,1.86E-04,I,0.228815069
2849,530262,7.54E-04,2.01E-04,I,0.210745182
2857,530978,9.45E-04,2.19E-04,I,0.214930263
2859,531149,0.001010999,2.19E-04,I,0.212492322
2866,531879,0.001243666,2.75E-04,I,0.209172362
2869,532192,0.001348509,2.88E-04,I,0.206179225
2877,532574,0.001363611,3.36E-04,I,0.201436972
2892,533749,0.00140104,3.58E-04,I,0.204083428
2902,535235,0.001273653,2.76E-04,I,0.200778941
2912,535714,0.001327059,2.54E-04,I,0.206443912
2917,536607,0.001253297,2.49E-04,I,0.17472382
2925,537255,0.001082134,2.35E-04,I,0.181183657
2943,538323,0.001078413,2.43E-04,I,0.159071687
2955,539313,0.001158304,2.71E-04,I,0.165641596
2968,541291,0.001160492,3.02E-04,I,0.191184144
2984,543733,0.001245417,3.07E-04,I,0.178526133
2999,544528,0.001501943,3.19E-04,I,0.210722719
3018,545511,0.001457073,3.80E-04,I,0.21657259
3026,546109,0.001493844,4.50E-04,I,0.217009032
3034,546295,0.001370834,4.59E-04,I,0.212402051
3043,546582,0.001479398,5.05E-04,I,0.205873878
3050,547427,0.00159015,5.58E-04,I,0.210616924
3063,547928,0.001471518,5.36E-04,I,0.216936962
3077,548621,0.001371053,5.33E-04,I,0.211700374
3084,548932,0.001136197,4.45E-04,I,0.19348614
3097,550128,9.46E-04,4.27E-04,I,0.209736149
3105,551165,6.31E-04,3.65E-04,I,0.170390904
3119,552015,5.62E-04,2.56E-04,I,0.150643255
3131,552936,6.17E-04,2.32E-04,I,0.151146574
3139,554244,6.77E-04,1.77E-04,I,0.149738697
3155,559143,7.37E-04,1.44E-04,I,0.143904462
3167,559957,7.09E-04,1.24E-04,I,0.108316571
3178,561035,7.86E-04,1.41E-04,I,0.104621331
3193,562241,8.58E-04,1.69E-04,I,0.107839855
3199,562739,9.15E-04,1.99E-04,I,0.104524229
3206,563275,0.001066375,2.05E-04,I,0.102217774
3211,563464,0.001134884,2.09E-04,I,0.100809414
3219,564005,0.001182161,2.22E-04,I,0.122021409
3233,564586,0.001106867,1.78E-04,I,0.10824919
3244,565430,0.001129412,1.83E-04,I,0.111468813
3260,566732,0.001173406,3.81E-04,I,0.13698913
3269,567260,0.001129412,3.47E-04,I,0.138492843
3283,568696,0.001080821,3.90E-04,I,0.1492874
3303,570281,0.001077975,4.54E-04,I,0.152381273
3318,571535,0.001147798,5.02E-04,I,0.175250853
3339,573321,0.00131896,6.27E-04,I,0.18143144
3352,574326,0.001448536,6.32E-04,I,0.183167555
3364,574719,0.001441313,6.25E-04,I,0.169829154
3379,575722,0.00146736,6.27E-04,I,0.168443039
3388,576105,0.001378933,6.38E-04,I,0.168172477
3402,576724,0.001210178,4.32E-04,I,0.158823942
3412,576950,0.001239945,4.44E-04,I,0.156618027
3423,577682,0.001186977,3.82E-04,I,0.152494655
3439,578577,0.00128,3.02E-04,I,0.157096734
3458,579958,0.001398413,2.94E-04,I,0.145045252
3477,582435,0.001142326,1.97E-04,I,0.129812096
3486,582804,9.44E-04,1.88E-04,I,0.122902308
3495,583302,8.92E-04,1.81E-04,I,0.127209987
3514,585146,9.53E-04,2.07E-04,I,0.132659835
3518,585279,9.20E-04,1.88E-04,I,0.13528967
3529,585901,9.69E-04,2.71E-04,I,0.149655281
3546,588480,0.001037921,4.17E-04,I,0.158694408
3556,589182,0.001116279,4.19E-04,I,0.161999609
3564,589845,9.22E-04,3.83E-04,I,0.160410496
3578,591340,7.31E-04,3.21E-04,I,0.156918015
3592,592616,9.79E-04,4.65E-04,I,0.200282839
3602,592909,0.001152394,6.54E-04,I,0.19932631
3608,593537,0.00120974,6.56E-04,I,0.196730864
3620,595474,0.001023037,6.27E-04,I,0.205430967
3621,595590,0.001013844,6.27E-04,I,0.20630231
3629,596233,9.94E-04,5.41E-04,I,0.205895578
3653,597388,0.001132914,4.97E-04,I,0.207065545
3659,597623,0.001053461,4.93E-04,I,0.212389743
