isotypes,cluster,frac_cluster,max_frac,K
QX1791,C,0.99998,0.99998,3
QX1792,C,0.99998,0.99998,3
QX1794,C,0.99998,0.99998,3
XZ1513,C,0.99998,0.99998,3
XZ1514,C,1e-5,0.99998,3
ECA189,A,1e-5,0.781995,4
ECA701,A,0.785009,0.785009,4
ECA710,A,1e-5,0.839758,4
ECA369,A,0.133627,0.866363,4
ECA738,A,1e-5,0.868992,4
ECA706,A,1e-5,0.900387,4
XZ1516,A,0.902022,0.902022,4
ECA703,A,0.087795,0.912195,4
QX1793,A,1e-5,0.940623,4
ECA724,A,0.941254,0.941254,4
ECA372,A,1e-5,0.946294,4
XZ1515,A,0.021208,0.978782,4
ECA768,A,1.7e-5,0.999973,4
ECA812,A,1.4e-5,0.999976,4
ECA396,A,0.999978,0.999978,4
CB4856,A,1e-5,0.99998,4
DL238,A,1e-5,0.99998,4
ECA191,A,0.99998,0.99998,4
ECA347,A,0.99998,0.99998,4
ECA363,A,0.99998,0.99998,4
ECA705,A,1e-5,0.99998,4
ECA712,A,1e-5,0.99998,4
ECA722,A,0.99998,0.99998,4
ECA723,A,0.99998,0.99998,4
ECA730,A,0.99998,0.99998,4
ECA732,A,1e-5,0.99998,4
ECA733,A,1e-5,0.99998,4
ECA740,A,0.99998,0.99998,4
ECA741,A,0.99998,0.99998,4
ECA742,A,0.99998,0.99998,4
ECA743,A,1e-5,0.99998,4
ECA744,A,0.99998,0.99998,4
ECA745,A,0.99998,0.99998,4
ECA746,A,0.99998,0.99998,4
ECA760,A,1e-5,0.99998,4
ECA777,A,1e-5,0.99998,4
ECA778,A,1e-5,0.99998,4
ECA807,A,1e-5,0.99998,4
QX1791,A,1e-5,0.99998,4
QX1792,A,1e-5,0.99998,4
QX1794,A,1e-5,0.99998,4
XZ1513,A,1e-5,0.99998,4
XZ1514,A,0.99998,0.99998,4
ECA189,B,0.217995,0.781995,4
ECA701,B,1e-5,0.785009,4
ECA710,B,0.160232,0.839758,4
ECA369,B,1e-5,0.866363,4
ECA738,B,0.130998,0.868992,4
ECA706,B,0.099603,0.900387,4
XZ1516,B,1e-5,0.902022,4
ECA703,B,1e-5,0.912195,4
QX1793,B,0.059367,0.940623,4
ECA724,B,1e-5,0.941254,4
ECA372,B,0.053696,0.946294,4
XZ1515,B,1e-5,0.978782,4
ECA768,B,0.999973,0.999973,4
ECA812,B,0.999976,0.999976,4
ECA396,B,1.2e-5,0.999978,4
CB4856,B,1e-5,0.99998,4
DL238,B,1e-5,0.99998,4
ECA191,B,1e-5,0.99998,4
ECA347,B,1e-5,0.99998,4
ECA363,B,1e-5,0.99998,4
ECA705,B,1e-5,0.99998,4
ECA712,B,0.99998,0.99998,4
ECA722,B,1e-5,0.99998,4
ECA723,B,1e-5,0.99998,4
ECA730,B,1e-5,0.99998,4
ECA732,B,1e-5,0.99998,4
ECA733,B,1e-5,0.99998,4
ECA740,B,1e-5,0.99998,4
ECA741,B,1e-5,0.99998,4
ECA742,B,1e-5,0.99998,4
ECA743,B,1e-5,0.99998,4
ECA744,B,1e-5,0.99998,4
ECA745,B,1e-5,0.99998,4
ECA746,B,1e-5,0.99998,4
ECA760,B,0.99998,0.99998,4
ECA777,B,0.99998,0.99998,4
ECA778,B,0.99998,0.99998,4
ECA807,B,0.99998,0.99998,4
QX1791,B,1e-5,0.99998,4
QX1792,B,1e-5,0.99998,4
QX1794,B,1e-5,0.99998,4
XZ1513,B,1e-5,0.99998,4
XZ1514,B,1e-5,0.99998,4
ECA189,C,0.781995,0.781995,4
ECA701,C,0.214981,0.785009,4
ECA710,C,0.839758,0.839758,4
ECA369,C,0.866363,0.866363,4
ECA738,C,0.868992,0.868992,4
ECA706,C,0.900387,0.900387,4
XZ1516,C,0.097968,0.902022,4
ECA703,C,0.912195,0.912195,4
QX1793,C,0.940623,0.940623,4
ECA724,C,0.058736,0.941254,4
ECA372,C,0.946294,0.946294,4
XZ1515,C,0.978782,0.978782,4
ECA768,C,1e-5,0.999973,4
ECA812,C,1e-5,0.999976,4
ECA396,C,1e-5,0.999978,4
CB4856,C,0.99998,0.99998,4
DL238,C,0.99998,0.99998,4
ECA191,C,1e-5,0.99998,4
ECA347,C,1e-5,0.99998,4
ECA363,C,1e-5,0.99998,4
ECA705,C,0.99998,0.99998,4
ECA712,C,1e-5,0.99998,4
ECA722,C,1e-5,0.99998,4
ECA723,C,1e-5,0.99998,4
ECA730,C,1e-5,0.99998,4
ECA732,C,0.99998,0.99998,4
ECA733,C,0.99998,0.99998,4
ECA740,C,1e-5,0.99998,4
ECA741,C,1e-5,0.99998,4
ECA742,C,1e-5,0.99998,4
ECA743,C,0.99998,0.99998,4
ECA744,C,1e-5,0.99998,4
ECA745,C,1e-5,0.99998,4
ECA746,C,1e-5,0.99998,4
ECA760,C,1e-5,0.99998,4
ECA777,C,1e-5,0.99998,4
ECA778,C,1e-5,0.99998,4
ECA807,C,1e-5,0.99998,4
QX1791,C,0.99998,0.99998,4
QX1792,C,0.99998,0.99998,4
QX1794,C,0.99998,0.99998,4
XZ1513,C,0.99998,0.99998,4
XZ1514,C,1e-5,0.99998,4
ECA189,A,1e-5,0.781995,5
ECA701,A,0.785009,0.785009,5
ECA710,A,1e-5,0.839758,5
ECA369,A,0.133627,0.866363,5
ECA738,A,1e-5,0.868992,5
ECA706,A,1e-5,0.900387,5
XZ1516,A,0.902022,0.902022,5
ECA703,A,0.087795,0.912195,5
QX1793,A,1e-5,0.940623,5
ECA724,A,0.941254,0.941254,5
ECA372,A,1e-5,0.946294,5
XZ1515,A,0.021208,0.978782,5
ECA768,A,1.7e-5,0.999973,5
ECA812,A,1.4e-5,0.999976,5
ECA396,A,0.999978,0.999978,5
CB4856,A,1e-5,0.99998,5
DL238,A,1e-5,0.99998,5
ECA191,A,0.99998,0.99998,5
ECA347,A,0.99998,0.99998,5
ECA363,A,0.99998,0.99998,5
ECA705,A,1e-5,0.99998,5
ECA712,A,1e-5,0.99998,5
ECA722,A,0.99998,0.99998,5
ECA723,A,0.99998,0.99998,5
ECA730,A,0.99998,0.99998,5
ECA732,A,1e-5,0.99998,5
ECA733,A,1e-5,0.99998,5
ECA740,A,0.99998,0.99998,5
ECA741,A,0.99998,0.99998,5
ECA742,A,0.99998,0.99998,5
ECA743,A,1e-5,0.99998,5
ECA744,A,0.99998,0.99998,5
ECA745,A,0.99998,0.99998,5
ECA746,A,0.99998,0.99998,5
ECA760,A,1e-5,0.99998,5
ECA777,A,1e-5,0.99998,5
ECA778,A,1e-5,0.99998,5
ECA807,A,1e-5,0.99998,5
QX1791,A,1e-5,0.99998,5
QX1792,A,1e-5,0.99998,5
QX1794,A,1e-5,0.99998,5
XZ1513,A,1e-5,0.99998,5
XZ1514,A,0.99998,0.99998,5
ECA189,B,0.217995,0.781995,5
ECA701,B,1e-5,0.785009,5
ECA710,B,0.160232,0.839758,5
ECA369,B,1e-5,0.866363,5
ECA738,B,0.130998,0.868992,5
ECA706,B,0.099603,0.900387,5
XZ1516,B,1e-5,0.902022,5
ECA703,B,1e-5,0.912195,5
QX1793,B,0.059367,0.940623,5
ECA724,B,1e-5,0.941254,5
ECA372,B,0.053696,0.946294,5
XZ1515,B,1e-5,0.978782,5
ECA768,B,0.999973,0.999973,5
ECA812,B,0.999976,0.999976,5
ECA396,B,1.2e-5,0.999978,5
CB4856,B,1e-5,0.99998,5
DL238,B,1e-5,0.99998,5
ECA191,B,1e-5,0.99998,5
ECA347,B,1e-5,0.99998,5
ECA363,B,1e-5,0.99998,5
ECA705,B,1e-5,0.99998,5
ECA712,B,0.99998,0.99998,5
ECA722,B,1e-5,0.99998,5
ECA723,B,1e-5,0.99998,5
ECA730,B,1e-5,0.99998,5
ECA732,B,1e-5,0.99998,5
ECA733,B,1e-5,0.99998,5
ECA740,B,1e-5,0.99998,5
ECA741,B,1e-5,0.99998,5
ECA742,B,1e-5,0.99998,5
ECA743,B,1e-5,0.99998,5
ECA744,B,1e-5,0.99998,5
ECA745,B,1e-5,0.99998,5
ECA746,B,1e-5,0.99998,5
ECA760,B,0.99998,0.99998,5
ECA777,B,0.99998,0.99998,5
ECA778,B,0.99998,0.99998,5
ECA807,B,0.99998,0.99998,5
QX1791,B,1e-5,0.99998,5
QX1792,B,1e-5,0.99998,5
QX1794,B,1e-5,0.99998,5
XZ1513,B,1e-5,0.99998,5
XZ1514,B,1e-5,0.99998,5
ECA189,C,0.781995,0.781995,5
ECA701,C,0.214981,0.785009,5
ECA710,C,0.839758,0.839758,5
ECA369,C,0.866363,0.866363,5
ECA738,C,0.868992,0.868992,5
ECA706,C,0.900387,0.900387,5
XZ1516,C,0.097968,0.902022,5
ECA703,C,0.912195,0.912195,5
QX1793,C,0.940623,0.940623,5
ECA724,C,0.058736,0.941254,5
ECA372,C,0.946294,0.946294,5
XZ1515,C,0.978782,0.978782,5
ECA768,C,1e-5,0.999973,5
ECA812,C,1e-5,0.999976,5
ECA396,C,1e-5,0.999978,5
CB4856,C,0.99998,0.99998,5
DL238,C,0.99998,0.99998,5
ECA191,C,1e-5,0.99998,5
ECA347,C,1e-5,0.99998,5
ECA363,C,1e-5,0.99998,5
ECA705,C,0.99998,0.99998,5
ECA712,C,1e-5,0.99998,5
ECA722,C,1e-5,0.99998,5
ECA723,C,1e-5,0.99998,5
ECA730,C,1e-5,0.99998,5
ECA732,C,0.99998,0.99998,5
ECA733,C,0.99998,0.99998,5
ECA740,C,1e-5,0.99998,5
ECA741,C,1e-5,0.99998,5
ECA742,C,1e-5,0.99998,5
ECA743,C,0.99998,0.99998,5
ECA744,C,1e-5,0.99998,5
ECA745,C,1e-5,0.99998,5
ECA746,C,1e-5,0.99998,5
ECA760,C,1e-5,0.99998,5
ECA777,C,1e-5,0.99998,5
ECA778,C,1e-5,0.99998,5
ECA807,C,1e-5,0.99998,5
QX1791,C,0.99998,0.99998,5
QX1792,C,0.99998,0.99998,5
QX1794,C,0.99998,0.99998,5
XZ1513,C,0.99998,0.99998,5
XZ1514,C,1e-5,0.99998,5
