isotype,strain,c_label,s_label,worms_on_sample,approximate_number_of_worms,latitude,longitude,island,landscape,sky_view,gridsect,gridsect_number,gridsect_direction,gridsect_radius,substrate_temperature,substrate_moisture,ambient_humidity,ambient_temperature,altitude,date,time,pcr_positive,species_id,photo_url_thumb,fixed_substrate
ECA760,ECA808,C-2824,S-07422,Yes,Few (4-10),20.039858,-155.441608,Big Island,Wild forest,Partially Obstructed,yes,3,E,2,20.6,NA,83.1,22.6,670.8930041,2017-08-17,14:56:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2824.thumb.jpg,Fruit
ECA778,ECA781,C-2824,S-07423,Yes,Few (4-10),20.039858,-155.441608,Big Island,Wild forest,Partially Obstructed,yes,3,E,2,20.6,NA,83.1,22.6,670.8930041,2017-08-17,14:56:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2824.thumb.jpg,Fruit
No isotype,NA,C-2828,S-07314,Yes,Some (11-25),20.039869,-155.441619,Big Island,Wild forest,Partially Obstructed,yes,3,F,3,21.2,67.5,84.2,22.6,670.8197674,2017-08-17,14:57:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2828.thumb.jpg,Leaf litter
ECA760,ECA760,C-2828,S-07315,Yes,Some (11-25),20.039869,-155.441619,Big Island,Wild forest,Partially Obstructed,yes,3,F,3,21.2,67.5,84.2,22.6,670.8197674,2017-08-17,14:57:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2828.thumb.jpg,Leaf litter
No isotype,NA,C-2828,S-07336,Yes,Some (11-25),20.039869,-155.441619,Big Island,Wild forest,Partially Obstructed,yes,3,F,3,21.2,67.5,84.2,22.6,670.8197674,2017-08-17,14:57:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2828.thumb.jpg,Leaf litter
ECA760,ECA769,C-2828,S-07372,Yes,Some (11-25),20.039869,-155.441619,Big Island,Wild forest,Partially Obstructed,yes,3,F,3,21.2,67.5,84.2,22.6,670.8197674,2017-08-17,14:57:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2828.thumb.jpg,Leaf litter
No isotype,NA,C-2828,S-07374,Yes,Some (11-25),20.039869,-155.441619,Big Island,Wild forest,Partially Obstructed,yes,3,F,3,21.2,67.5,84.2,22.6,670.8197674,2017-08-17,14:57:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2828.thumb.jpg,Leaf litter
ECA760,ECA739,C-2828,S-07375,Yes,Some (11-25),20.039869,-155.441619,Big Island,Wild forest,Partially Obstructed,yes,3,F,3,21.2,67.5,84.2,22.6,670.8197674,2017-08-17,14:57:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2828.thumb.jpg,Leaf litter
No isotype,NA,C-2832,S-07381,Yes,Some (11-25),20.039844,-155.441644,Big Island,Wild forest,Partially Obstructed,yes,3,F,2,20.5,69,80.8,22.6,671.333887,2017-08-17,14:58:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2832.thumb.jpg,Leaf litter
No isotype,NA,C-2832,S-07383,Yes,Some (11-25),20.039844,-155.441644,Big Island,Wild forest,Partially Obstructed,yes,3,F,2,20.5,69,80.8,22.6,671.333887,2017-08-17,14:58:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2832.thumb.jpg,Leaf litter
No isotype,NA,C-2832,S-07396,Yes,Some (11-25),20.039844,-155.441644,Big Island,Wild forest,Partially Obstructed,yes,3,F,2,20.5,69,80.8,22.6,671.333887,2017-08-17,14:58:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2832.thumb.jpg,Leaf litter
No isotype,NA,C-2832,S-07397,Yes,Some (11-25),20.039844,-155.441644,Big Island,Wild forest,Partially Obstructed,yes,3,F,2,20.5,69,80.8,22.6,671.333887,2017-08-17,14:58:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2832.thumb.jpg,Leaf litter
No isotype,NA,C-2832,S-07400,Yes,Some (11-25),20.039844,-155.441644,Big Island,Wild forest,Partially Obstructed,yes,3,F,2,20.5,69,80.8,22.6,671.333887,2017-08-17,14:58:00,1,Oscheius sp.,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2832.thumb.jpg,Leaf litter
ECA778,ECA763,C-2840,S-07355,Yes,Proliferating (25+),20.039878,-155.441608,Big Island,Wild forest,Partially Obstructed,yes,3,C,3,20.7,70,82.7,22.6,670.6117647,2017-08-17,14:53:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2840.thumb.jpg,Leaf litter
ECA778,ECA764,C-2840,S-07357,Yes,Proliferating (25+),20.039878,-155.441608,Big Island,Wild forest,Partially Obstructed,yes,3,C,3,20.7,70,82.7,22.6,670.6117647,2017-08-17,14:53:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2840.thumb.jpg,Leaf litter
ECA778,ECA765,C-2840,S-07358,Yes,Proliferating (25+),20.039878,-155.441608,Big Island,Wild forest,Partially Obstructed,yes,3,C,3,20.7,70,82.7,22.6,670.6117647,2017-08-17,14:53:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2840.thumb.jpg,Leaf litter
ECA778,ECA766,C-2840,S-07359,Yes,Proliferating (25+),20.039878,-155.441608,Big Island,Wild forest,Partially Obstructed,yes,3,C,3,20.7,70,82.7,22.6,670.6117647,2017-08-17,14:53:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2840.thumb.jpg,Leaf litter
ECA778,ECA767,C-2840,S-07365,Yes,Proliferating (25+),20.039878,-155.441608,Big Island,Wild forest,Partially Obstructed,yes,3,C,3,20.7,70,82.7,22.6,670.6117647,2017-08-17,14:53:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2840.thumb.jpg,Leaf litter
No isotype,NA,C-2844,S-07426,Yes,Few (4-10),20.039903,-155.441597,Big Island,Wild forest,Partially Obstructed,yes,3,C,2,20.9,69,85.2,22.6,670.3394495,2017-08-17,14:54:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2844.thumb.jpg,Leaf litter
No isotype,NA,C-2844,S-07427,Yes,Few (4-10),20.039903,-155.441597,Big Island,Wild forest,Partially Obstructed,yes,3,C,2,20.9,69,85.2,22.6,670.3394495,2017-08-17,14:54:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2844.thumb.jpg,Leaf litter
No isotype,NA,C-2844,S-07428,Yes,Few (4-10),20.039903,-155.441597,Big Island,Wild forest,Partially Obstructed,yes,3,C,2,20.9,69,85.2,22.6,670.3394495,2017-08-17,14:54:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2844.thumb.jpg,Leaf litter
No isotype,NA,C-2844,S-07429,Yes,Few (4-10),20.039903,-155.441597,Big Island,Wild forest,Partially Obstructed,yes,3,C,2,20.9,69,85.2,22.6,670.3394495,2017-08-17,14:54:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2844.thumb.jpg,Leaf litter
No isotype,NA,C-2856,S-07345,Yes,Some (11-25),20.039914,-155.441556,Big Island,Wild forest,Partially Obstructed,yes,3,A,2,21.9,69,87.6,21.9,669.971831,2017-08-17,14:51:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2856.thumb.jpg,Leaf litter
No isotype,NA,C-2856,S-07356,Yes,Some (11-25),20.039914,-155.441556,Big Island,Wild forest,Partially Obstructed,yes,3,A,2,21.9,69,87.6,21.9,669.971831,2017-08-17,14:51:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2856.thumb.jpg,Leaf litter
No isotype,NA,C-2856,S-07363,Yes,Some (11-25),20.039914,-155.441556,Big Island,Wild forest,Partially Obstructed,yes,3,A,2,21.9,69,87.6,21.9,669.971831,2017-08-17,14:51:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2856.thumb.jpg,Leaf litter
No isotype,NA,C-2856,S-07364,Yes,Some (11-25),20.039914,-155.441556,Big Island,Wild forest,Partially Obstructed,yes,3,A,2,21.9,69,87.6,21.9,669.971831,2017-08-17,14:51:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2856.thumb.jpg,Leaf litter
ECA768,ECA768,C-2856,S-07368,Yes,Some (11-25),20.039914,-155.441556,Big Island,Wild forest,Partially Obstructed,yes,3,A,2,21.9,69,87.6,21.9,669.971831,2017-08-17,14:51:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2856.thumb.jpg,Leaf litter
No isotype,NA,C-2860,NA,No,NA,20.039911,-155.441617,Big Island,Wild forest,Partially Obstructed,yes,3,B,3,21,NA,88.8,22.6,670.2622951,2017-08-17,14:52:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2860.thumb.jpg,Fruit
No isotype,NA,C-2864,NA,No,NA,19.423889,-155.222447,Big Island,Rural garden,Partially Obstructed,yes,1,F,1,14.2,71.5,94,18.5,1118.321244,2017-08-14,08:07:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2864.thumb.jpg,Leaf litter
No isotype,NA,C-2868,NA,Tracks,NA,19.423889,-155.222447,Big Island,Rural garden,Partially Obstructed,yes,1,F,2,15,71.5,94,18.5,1118.400369,2017-08-14,08:08:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2868.thumb.jpg,Leaf litter
No isotype,NA,C-2875,S-07261,Yes,Few (4-10),20.039903,-155.441594,Big Island,Wild forest,Partially Obstructed,yes,3,D,1,21.1,69,83.8,22.6,670.1843318,2017-08-17,14:54:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2875.thumb.jpg,Leaf litter
No isotype,NA,C-2875,S-07298,Yes,Few (4-10),20.039903,-155.441594,Big Island,Wild forest,Partially Obstructed,yes,3,D,1,21.1,69,83.8,22.6,670.1843318,2017-08-17,14:54:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2875.thumb.jpg,Leaf litter
No isotype,NA,C-2875,S-07303,Yes,Few (4-10),20.039903,-155.441594,Big Island,Wild forest,Partially Obstructed,yes,3,D,1,21.1,69,83.8,22.6,670.1843318,2017-08-17,14:54:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2875.thumb.jpg,Leaf litter
No isotype,NA,C-2875,S-07304,Yes,Few (4-10),20.039903,-155.441594,Big Island,Wild forest,Partially Obstructed,yes,3,D,1,21.1,69,83.8,22.6,670.1843318,2017-08-17,14:54:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2875.thumb.jpg,Leaf litter
No isotype,NA,C-2879,S-07380,Yes,Few (4-10),20.039864,-155.441644,Big Island,Wild forest,Partially Obstructed,yes,3,E,3,20.5,67,84.2,22.6,671.08125,2017-08-17,14:55:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2879.thumb.jpg,Leaf litter
ECA812,ECA771,C-2879,S-07384,Yes,Few (4-10),20.039864,-155.441644,Big Island,Wild forest,Partially Obstructed,yes,3,E,3,20.5,67,84.2,22.6,671.08125,2017-08-17,14:55:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2879.thumb.jpg,Leaf litter
ECA812,ECA773,C-2879,S-07387,Yes,Few (4-10),20.039864,-155.441644,Big Island,Wild forest,Partially Obstructed,yes,3,E,3,20.5,67,84.2,22.6,671.08125,2017-08-17,14:55:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2879.thumb.jpg,Leaf litter
No isotype,NA,C-2879,S-07390,Yes,Few (4-10),20.039864,-155.441644,Big Island,Wild forest,Partially Obstructed,yes,3,E,3,20.5,67,84.2,22.6,671.08125,2017-08-17,14:55:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2879.thumb.jpg,Leaf litter
No isotype,NA,C-2961,NA,Tracks,NA,19.423858,-155.222486,Big Island,Rural garden,Partially Obstructed,yes,1,D,1,14.6,71.5,94,18.5,1120.500342,2017-08-14,08:03:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2961.thumb.jpg,Leaf litter
No isotype,NA,C-2962,S-06209,Yes,Very Few (1-3),19.423861,-155.222475,Big Island,Rural garden,Partially Obstructed,yes,1,D,2,14.8,71.5,94,18.5,1120.374853,2017-08-14,08:03:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2962.thumb.jpg,Leaf litter
No isotype,NA,C-2966,NA,Tracks,NA,19.423908,-155.222497,Big Island,Rural garden,Partially Obstructed,yes,1,E,2,14.9,71.5,94,18.5,1120.171429,2017-08-14,08:05:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2966.thumb.jpg,Leaf litter
No isotype,NA,C-2967,NA,Tracks,NA,19.4239,-155.222456,Big Island,Rural garden,Partially Obstructed,yes,1,E,1,15.2,71.5,94,18.5,1118.995935,2017-08-14,08:05:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2967.thumb.jpg,Leaf litter
No isotype,NA,C-3054,NA,Tracks,NA,19.423831,-155.222364,Big Island,Rural garden,Partially Obstructed,yes,1,B,2,15.2,71.5,94,18.5,1118.136201,2017-08-14,07:59:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3054.thumb.jpg,Leaf litter
No isotype,NA,C-3055,NA,No,NA,19.423853,-155.222453,Big Island,Rural garden,Partially Obstructed,yes,1,B,1,16.1,71.5,94,18.5,1116.554217,2017-08-14,07:59:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3055.thumb.jpg,Leaf litter
ECA730,ECA730,C-3058,S-06322,Yes,Very Few (1-3),19.423869,-155.222483,Big Island,Rural garden,Partially Obstructed,yes,1,C,1,15,NA,94,18.4,1121.234234,2017-08-14,08:00:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3058.thumb.jpg,Leaf litter
No isotype,NA,C-3059,NA,Tracks,NA,19.423833,-155.222475,Big Island,Rural garden,Partially Obstructed,yes,1,C,2,15,71.5,94,18.5,1120.646552,2017-08-14,08:01:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3059.thumb.jpg,Leaf litter
ECA712,ECA711,C-3097,S-06054,Yes,Proliferating (25+),19.423864,-155.222478,Big Island,Rural garden,Partially Obstructed,yes,1,A,1,15.4,71.5,94,18.5,1119.876923,2017-08-14,07:56:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3097.thumb.jpg,Leaf litter
ECA712,ECA712,C-3097,S-06058,Yes,Proliferating (25+),19.423864,-155.222478,Big Island,Rural garden,Partially Obstructed,yes,1,A,1,15.4,71.5,94,18.5,1119.876923,2017-08-14,07:56:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3097.thumb.jpg,Leaf litter
ECA712,ECA713,C-3097,S-06059,Yes,Proliferating (25+),19.423864,-155.222478,Big Island,Rural garden,Partially Obstructed,yes,1,A,1,15.4,71.5,94,18.5,1119.876923,2017-08-14,07:56:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3097.thumb.jpg,Leaf litter
ECA712,ECA714,C-3097,S-06073,Yes,Proliferating (25+),19.423864,-155.222478,Big Island,Rural garden,Partially Obstructed,yes,1,A,1,15.4,71.5,94,18.5,1119.876923,2017-08-14,07:56:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3097.thumb.jpg,Leaf litter
ECA712,ECA715,C-3097,S-06076,Yes,Proliferating (25+),19.423864,-155.222478,Big Island,Rural garden,Partially Obstructed,yes,1,A,1,15.4,71.5,94,18.5,1119.876923,2017-08-14,07:56:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3097.thumb.jpg,Leaf litter
No isotype,NA,C-3101,NA,Tracks,NA,19.423869,-155.222458,Big Island,Agricultural land,Partially Obstructed,yes,1,A,0,17.6,71.5,94,26.944444444444446,1118.421488,2017-08-14,07:53:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3101.thumb.jpg,Leaf litter
No isotype,NA,C-3105,NA,Tracks,NA,19.423853,-155.222481,Big Island,Rural garden,Partially Obstructed,yes,1,A,2,15.7,71.5,94,18.5,1119.423358,2017-08-14,07:58:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3105.thumb.jpg,Leaf litter
No isotype,NA,C-3122,S-07224,Yes,Few (4-10),20.038614,-155.439544,Big Island,Wild forest,Partially Obstructed,yes,3,A,3,22.5,69,87.1,21.9,660.1563981,2017-08-17,14:50:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3122.thumb.jpg,Leaf litter
No isotype,NA,C-3122,S-07227,Yes,Few (4-10),20.038614,-155.439544,Big Island,Wild forest,Partially Obstructed,yes,3,A,3,22.5,69,87.1,21.9,660.1563981,2017-08-17,14:50:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3122.thumb.jpg,Leaf litter
No isotype,NA,C-3122,S-07334,Yes,Few (4-10),20.038614,-155.439544,Big Island,Wild forest,Partially Obstructed,yes,3,A,3,22.5,69,87.1,21.9,660.1563981,2017-08-17,14:50:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3122.thumb.jpg,Leaf litter
No isotype,NA,C-3122,S-07335,Yes,Few (4-10),20.038614,-155.439544,Big Island,Wild forest,Partially Obstructed,yes,3,A,3,22.5,69,87.1,21.9,660.1563981,2017-08-17,14:50:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3122.thumb.jpg,Leaf litter
No isotype,NA,C-3139,NA,Tracks,NA,20.039906,-155.441503,Big Island,Wild forest,Partially Obstructed,yes,3,B,1,19.9,NA,83.8,22.6,653.6134969,2017-08-17,14:51:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3139.thumb.jpg,Fruit
ECA812,ECA812,C-3143,S-07541,Yes,Some (11-25),20.039917,-155.441542,Big Island,Wild forest,Partially Obstructed,yes,3,D,2,19.8,68.5,80.9,22.6,655.4961832,2017-08-17,14:55:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3143.thumb.jpg,Leaf litter
No isotype,NA,C-3143,S-07635,Yes,Some (11-25),20.039917,-155.441542,Big Island,Wild forest,Partially Obstructed,yes,3,D,2,19.8,68.5,80.9,22.6,655.4961832,2017-08-17,14:55:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3143.thumb.jpg,Leaf litter
No isotype,NA,C-3143,S-07637,Yes,Some (11-25),20.039917,-155.441542,Big Island,Wild forest,Partially Obstructed,yes,3,D,2,19.8,68.5,80.9,22.6,655.4961832,2017-08-17,14:55:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3143.thumb.jpg,Leaf litter
ECA812,ECA813,C-3143,S-07638,Yes,Some (11-25),20.039917,-155.441542,Big Island,Wild forest,Partially Obstructed,yes,3,D,2,19.8,68.5,80.9,22.6,655.4961832,2017-08-17,14:55:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3143.thumb.jpg,Leaf litter
No isotype,NA,C-3143,S-07639,Yes,Some (11-25),20.039917,-155.441542,Big Island,Wild forest,Partially Obstructed,yes,3,D,2,19.8,68.5,80.9,22.6,655.4961832,2017-08-17,14:55:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3143.thumb.jpg,Leaf litter
No isotype,NA,C-3147,S-07262,Yes,Few (4-10),20.039908,-155.441533,Big Island,Wild forest,Partially Obstructed,yes,3,D,3,18.5,69,79.9,23.3,654.7903226,2017-08-17,14:56:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3147.thumb.jpg,Leaf litter
No isotype,NA,C-3147,S-07263,Yes,Few (4-10),20.039908,-155.441533,Big Island,Wild forest,Partially Obstructed,yes,3,D,3,18.5,69,79.9,23.3,654.7903226,2017-08-17,14:56:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3147.thumb.jpg,Leaf litter
No isotype,NA,C-3147,S-07317,Yes,Few (4-10),20.039908,-155.441533,Big Island,Wild forest,Partially Obstructed,yes,3,D,3,18.5,69,79.9,23.3,654.7903226,2017-08-17,14:56:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3147.thumb.jpg,Leaf litter
No isotype,NA,C-3147,S-07318,Yes,Few (4-10),20.039908,-155.441533,Big Island,Wild forest,Partially Obstructed,yes,3,D,3,18.5,69,79.9,23.3,654.7903226,2017-08-17,14:56:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3147.thumb.jpg,Leaf litter
No isotype,NA,C-3151,S-07529,Yes,Few (4-10),20.039897,-155.441531,Big Island,Wild forest,Partially Obstructed,yes,3,C,1,19.8,67.5,81.9,22.6,656.5362319,2017-08-17,14:54:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3151.thumb.jpg,Leaf litter
ECA778,ECA810,C-3151,S-07530,Yes,Few (4-10),20.039897,-155.441531,Big Island,Wild forest,Partially Obstructed,yes,3,C,1,19.8,67.5,81.9,22.6,656.5362319,2017-08-17,14:54:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3151.thumb.jpg,Leaf litter
ECA778,ECA811,C-3151,S-07534,Yes,Few (4-10),20.039897,-155.441531,Big Island,Wild forest,Partially Obstructed,yes,3,C,1,19.8,67.5,81.9,22.6,656.5362319,2017-08-17,14:54:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3151.thumb.jpg,Leaf litter
No isotype,NA,C-3151,S-07535,Yes,Few (4-10),20.039897,-155.441531,Big Island,Wild forest,Partially Obstructed,yes,3,C,1,19.8,67.5,81.9,22.6,656.5362319,2017-08-17,14:54:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3151.thumb.jpg,Leaf litter
ECA768,ECA772,C-3155,S-07385,Yes,Some (11-25),20.039908,-155.441503,Big Island,Wild forest,Partially Obstructed,yes,3,B,2,21.5,NA,NA,NA,655.4036697,2017-08-17,14:53:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3155.thumb.jpg,Fruit
No isotype,NA,C-3155,S-07386,Yes,Some (11-25),20.039908,-155.441503,Big Island,Wild forest,Partially Obstructed,yes,3,B,2,21.5,NA,NA,NA,655.4036697,2017-08-17,14:53:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3155.thumb.jpg,Fruit
ECA777,ECA777,C-3155,S-07414,Yes,Some (11-25),20.039908,-155.441503,Big Island,Wild forest,Partially Obstructed,yes,3,B,2,21.5,NA,NA,NA,655.4036697,2017-08-17,14:53:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3155.thumb.jpg,Fruit
ECA778,ECA778,C-3155,S-07415,Yes,Some (11-25),20.039908,-155.441503,Big Island,Wild forest,Partially Obstructed,yes,3,B,2,21.5,NA,NA,NA,655.4036697,2017-08-17,14:53:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3155.thumb.jpg,Fruit
