c_label,collection_type,island,species_id,pcr_positive,worms_on_sample,longitude,latitude,multiple_type
C-0208,No Nematode,Kauai,NA,NA,No,-159.597425,22.207722,no
C-0209,No Nematode,Kauai,NA,NA,No,-159.597442,22.206228,no
C-0210,No Nematode,Kauai,NA,NA,No,-159.596519,22.20465,no
C-0212,No Nematode,Kauai,NA,NA,No,-159.619678,22.153225,no
C-0213,No Nematode,Kauai,NA,NA,No,-159.6306944,22.1479449,no
C-0214,No Nematode,Kauai,NA,NA,No,-159.621175,22.151697,no
C-0215,No Nematode,Kauai,NA,NA,No,-159.593939,22.190778,no
C-0219,No Nematode,Kauai,NA,NA,No,-159.6217,22.151119,no
C-0220,No Nematode,Kauai,NA,NA,No,-159.594708,22.198578,no
C-0222,No Nematode,Kauai,NA,NA,No,-159.593681,22.193964,no
C-0226,No Nematode,Kauai,NA,NA,No,-159.6239042,22.15699653,no
C-0227,No Nematode,Kauai,NA,NA,No,-159.6239042,22.15699653,no
C-0228,No Nematode,Kauai,NA,NA,No,-159.641155,22.133923,no
C-0234,No Nematode,Kauai,NA,NA,No,-159.6399866,22.13326248,no
C-0237,No Nematode,Kauai,NA,NA,No,-159.628303,21.987369,no
C-0241,No Nematode,Kauai,NA,NA,No,-159.657766,22.13017836,no
C-0243,No Nematode,Kauai,NA,NA,No,-159.670761,22.113939,no
C-0244,No Nematode,Kauai,NA,NA,No,-159.665781,22.120075,no
C-0246,No Nematode,Kauai,NA,NA,No,-159.6582361,22.12957813,no
C-0248,No Nematode,Kauai,NA,NA,No,-159.644767,22.150661,no
C-0249,No Nematode,Kauai,NA,NA,No,-159.651317,22.140033,no
C-0250,No Nematode,Kauai,NA,NA,No,-159.64475,22.150686,no
C-0252,No Nematode,Kauai,NA,NA,No,-159.422264,22.076797,no
C-0254,No Nematode,Kauai,NA,NA,No,-159.421553,22.075475,no
C-0258,No Nematode,Kauai,NA,NA,No,-159.422911,22.078806,no
C-0267,No Nematode,Kauai,NA,NA,No,-159.375597,22.100683,no
C-0278,No Nematode,Kauai,NA,NA,No,-159.386714,22.102517,no
C-0279,No Nematode,Kauai,NA,NA,No,-159.386303,22.102336,no
C-0294,No Nematode,Kauai,NA,NA,No,-159.426028,22.081625,no
C-0299,No Nematode,Kauai,NA,NA,No,-159.425992,22.08165,no
C-0303,No Nematode,Maui,NA,NA,No,-156.534836,20.950294,no
C-0305,No Nematode,Kauai,NA,NA,No,-159.472944,22.201819,no
C-0306,No Nematode,Kauai,NA,NA,No,-159.475231,22.199281,no
C-0310,No Nematode,Kauai,NA,NA,No,-159.475622,22.19905,no
C-0311,No Nematode,Maui,NA,NA,No,-156.535222,20.949369,no
C-0313,No Nematode,Kauai,NA,NA,No,-159.473428,22.201731,no
C-0315,No Nematode,Maui,NA,NA,No,-156.53525,20.949458,no
C-0318,No Nematode,Kauai,NA,NA,No,-159.476633,22.198506,no
C-0319,No Nematode,Maui,NA,NA,No,-156.535258,20.949322,no
C-0321,No Nematode,Kauai,NA,NA,No,-159.473281,22.201853,no
C-0322,No Nematode,Kauai,NA,NA,No,-159.476922,22.198364,no
C-0323,No Nematode,Maui,NA,NA,No,-156.535181,20.949264,no
C-0325,No Nematode,Kauai,NA,NA,No,-159.474025,22.201458,no
C-0326,No Nematode,Kauai,NA,NA,No,-159.4769475,22.1977058,no
C-0328,No Nematode,Maui,NA,NA,No,-156.334481,20.672561,no
C-0329,No Nematode,Kauai,NA,NA,No,-159.474047,22.201508,no
C-0330,No Nematode,Kauai,NA,NA,No,-159.477197,22.198133,no
C-0334,No Nematode,Kauai,NA,NA,No,-159.47735,22.198253,no
C-0335,No Nematode,Maui,NA,NA,No,-156.535347,20.949575,no
C-0338,No Nematode,Kauai,NA,NA,No,-159.477256,22.198564,no
C-0339,No Nematode,Maui,NA,NA,No,-156.535883,20.94872137,no
C-0341,No Nematode,Kauai,NA,NA,No,-159.474814,22.200528,no
C-0344,No Nematode,Maui,NA,NA,No,-156.337161,20.669839,no
C-0345,No Nematode,Kauai,NA,NA,No,-159.474839,22.200406,no
C-0346,No Nematode,Maui,NA,NA,No,-156.5453,20.881058,no
C-0348,No Nematode,Maui,NA,NA,No,-156.337236,20.669414,no
C-0349,No Nematode,Kauai,NA,NA,No,-159.47495,22.200214,no
C-0350,No Nematode,Maui,NA,NA,No,-156.533232,20.951985,no
C-0353,No Nematode,Kauai,NA,NA,No,-159.474708,22.199775,no
C-0356,No Nematode,Maui,NA,NA,No,-156.329594,20.681069,no
C-0357,No Nematode,Kauai,NA,NA,No,-159.474656,22.199572,no
C-0358,No Nematode,Maui,NA,NA,No,-156.534407,20.951076,no
C-0362,No Nematode,Kauai,NA,NA,No,-159.6577895,22.13011428,no
C-0363,No Nematode,Kauai,NA,NA,No,-159.660433,22.131558,no
C-0366,No Nematode,Kauai,NA,NA,No,-159.6718773,22.1144129,no
C-0367,No Nematode,Kauai,NA,NA,No,-159.660478,22.131542,no
C-0369,No Nematode,Maui,NA,NA,No,-156.332969,20.6738,no
C-0370,No Nematode,Kauai,NA,NA,No,-159.6716998,22.1145742,no
C-0371,No Nematode,Kauai,NA,NA,No,-159.660511,22.131447,no
C-0374,No Nematode,Kauai,NA,NA,No,-159.6716988,22.1150324,no
C-0375,No Nematode,Kauai,NA,NA,No,-159.6604613,22.1314956,no
C-0377,No Nematode,Maui,NA,NA,No,-156.332497,20.673239,no
C-0378,No Nematode,Kauai,NA,NA,No,-159.664014,22.134183,no
C-0382,No Nematode,Kauai,NA,NA,No,-159.6718528,22.1155139,no
C-0383,No Nematode,Kauai,NA,NA,No,-159.660447,22.131669,no
C-0386,No Nematode,Kauai,NA,NA,No,-159.6718576,22.1143876,no
C-0387,No Nematode,Kauai,NA,NA,No,-159.660856,22.133317,no
C-0391,No Nematode,Kauai,NA,NA,No,-159.660094,22.132169,no
C-0395,No Nematode,Kauai,NA,NA,No,-159.661356,22.133906,no
C-0396,No Nematode,Maui,NA,NA,No,-156.0967159,20.8073683,no
C-0398,No Nematode,Kauai,NA,NA,No,-159.6602421,22.13115619,no
C-0399,No Nematode,Kauai,NA,NA,No,-159.66215,22.133772,no
C-0402,No Nematode,Kauai,NA,NA,No,-159.660122,22.129553,no
C-0410,No Nematode,Kauai,NA,NA,No,-159.660286,22.13025,no
C-0413,No Nematode,Maui,NA,NA,No,-156.331653,20.676756,no
C-0414,No Nematode,Kauai,NA,NA,No,-159.660406,22.131561,no
C-0415,No Nematode,Maui,NA,NA,No,-156.009784,20.78249,no
C-0427,No Nematode,Kauai,NA,NA,No,-159.422453,22.077358,no
C-0434,No Nematode,Kauai,NA,NA,No,-159.427186,22.088803,no
C-0436,No Nematode,Kauai,NA,NA,No,-159.430589,22.090406,no
C-0438,No Nematode,Kauai,NA,NA,No,-159.425242,22.080664,no
C-0441,No Nematode,Kauai,NA,NA,No,-159.426094,22.081272,no
C-0443,No Nematode,Kauai,NA,NA,No,-159.426797,22.084394,no
C-0446,No Nematode,Kauai,NA,NA,No,-159.4153549,22.07342818,no
C-0452,No Nematode,Kauai,NA,NA,No,-159.663133,22.043475,no
C-0453,No Nematode,Kauai,NA,NA,No,-159.679911,22.026739,no
C-0454,No Nematode,Kauai,NA,NA,No,-159.674919,22.0298,no
C-0455,No Nematode,Kauai,NA,NA,No,-159.467992,21.931828,no
C-0457,No Nematode,Kauai,NA,NA,No,-159.674942,22.029775,no
C-0458,No Nematode,Kauai,NA,NA,No,-159.659317,22.118808,no
C-0461,No Nematode,Kauai,NA,NA,No,-159.657619,22.122519,no
C-0462,No Nematode,Kauai,NA,NA,No,-159.656808,22.122633,no
C-0464,No Nematode,Kauai,NA,NA,No,-159.656364,22.123478,no
C-0468,No Nematode,Kauai,NA,NA,No,-159.414397,22.074258,no
C-0472,No Nematode,Kauai,NA,NA,No,-159.619833,22.153172,no
C-0473,No Nematode,Kauai,NA,NA,No,-159.625544,22.148703,no
C-0474,No Nematode,Kauai,NA,NA,No,-159.619153,22.153892,no
C-0477,No Nematode,Kauai,NA,NA,No,-159.614978,22.150281,no
C-0478,No Nematode,Kauai,NA,NA,No,-159.626564,22.148244,no
C-0480,No Nematode,Kauai,NA,NA,No,-159.664469,22.121828,no
C-0481,No Nematode,Kauai,NA,NA,No,-159.640166,22.14763,no
C-0482,No Nematode,Kauai,NA,NA,No,-159.6399113,22.1469084,no
C-0483,No Nematode,Kauai,NA,NA,No,-159.641373,22.149137,no
C-0484,No Nematode,Kauai,NA,NA,No,-159.641378,22.149103,no
C-0494,No Nematode,Kauai,NA,NA,No,-159.641347,22.149134,no
C-0496,No Nematode,Kauai,NA,NA,No,-159.608839,22.147381,no
C-0497,No Nematode,Kauai,NA,NA,No,-159.61267,22.146757,no
C-0498,No Nematode,Kauai,NA,NA,No,-159.617546,22.147214,no
C-0499,No Nematode,Kauai,NA,NA,No,-159.6155513,22.1491967,no
C-0500,No Nematode,Kauai,NA,NA,No,-159.616875,22.152361,no
C-0503,No Nematode,Kauai,NA,NA,No,-159.625561,22.148761,no
C-0504,No Nematode,Kauai,NA,NA,No,-159.627723,22.148308,no
C-0505,No Nematode,Kauai,NA,NA,No,-159.6279999,22.14832755,no
C-0506,No Nematode,Kauai,NA,NA,No,-159.606147,22.147506,no
C-0507,No Nematode,Kauai,NA,NA,No,-159.608131,22.147303,no
C-0508,No Nematode,Kauai,NA,NA,No,-159.598953,22.153181,no
C-0510,No Nematode,Kauai,NA,NA,No,-159.67,22.115511,no
C-0511,No Nematode,Kauai,NA,NA,No,-159.648064,22.144058,no
C-0514,No Nematode,Kauai,NA,NA,No,-159.649133,22.140817,no
C-0515,No Nematode,Kauai,NA,NA,No,-159.669867,22.115422,no
C-0517,No Nematode,Kauai,NA,NA,No,-159.660397,22.132608,no
C-0518,No Nematode,Kauai,NA,NA,No,-159.660186,22.132272,no
C-0519,No Nematode,Kauai,NA,NA,No,-159.660439,22.131492,no
C-0521,No Nematode,Kauai,NA,NA,No,-159.6272109,22.148258,no
C-0530,No Nematode,Kauai,NA,NA,No,-159.608517,22.147428,no
C-0532,No Nematode,Kauai,NA,NA,No,-159.561089,21.900089,no
C-0535,No Nematode,Kauai,NA,NA,No,-159.660036,22.131989,no
C-0539,No Nematode,Kauai,NA,NA,No,-159.660617,22.132772,no
C-0540,No Nematode,Kauai,NA,NA,No,-159.660686,22.132761,no
C-0541,No Nematode,Kauai,NA,NA,No,-159.642844,22.137622,no
C-0542,No Nematode,Kauai,NA,NA,No,-159.6399011,22.1457871,no
C-0543,No Nematode,Kauai,NA,NA,No,-159.643478,22.137228,no
C-0547,No Nematode,Kauai,NA,NA,No,-159.657764,22.130136,no
C-0548,No Nematode,Kauai,NA,NA,No,-159.6632963,22.12497307,no
C-0550,No Nematode,Kauai,NA,NA,No,-159.413867,22.076328,no
C-0552,No Nematode,Kauai,NA,NA,No,-159.412692,22.081719,no
C-0553,No Nematode,Kauai,NA,NA,No,-159.413667,22.075069,no
C-0554,No Nematode,Kauai,NA,NA,No,-159.412764,22.084658,no
C-0556,No Nematode,Kauai,NA,NA,No,-159.412339,22.084003,no
C-0557,No Nematode,Kauai,NA,NA,No,-159.4126693,22.07822276,no
C-0559,No Nematode,Kauai,NA,NA,No,-159.412983,22.078697,no
C-0565,No Nematode,Kauai,NA,NA,No,-159.6417974,22.14295,no
C-0567,No Nematode,Kauai,NA,NA,No,-159.6644049,22.12187081,no
C-0568,No Nematode,Kauai,NA,NA,No,-159.664439,22.121875,no
C-0570,No Nematode,Kauai,NA,NA,No,-159.6235273,22.1495201,no
C-0571,No Nematode,Kauai,NA,NA,No,-159.62353,22.149479,no
C-0573,No Nematode,Kauai,NA,NA,No,-159.6212967,22.1514465,no
C-0574,No Nematode,Kauai,NA,NA,No,-159.6197055,22.1533803,no
C-0575,No Nematode,Kauai,NA,NA,No,-159.619179,22.154028,no
C-0577,No Nematode,Kauai,NA,NA,No,-159.618819,22.153873,no
C-0578,No Nematode,Kauai,NA,NA,No,-159.617266,22.1534567,no
C-0579,No Nematode,Kauai,NA,NA,No,-159.6459426,22.1510517,no
C-0581,No Nematode,Kauai,NA,NA,No,-159.6149992,22.1499761,no
C-0582,No Nematode,Kauai,NA,NA,No,-159.616589,22.148081,no
C-0583,No Nematode,Kauai,NA,NA,No,-159.6112,22.146186,no
C-0584,No Nematode,Kauai,NA,NA,No,-159.6044529,22.1482089,no
C-0585,No Nematode,Kauai,NA,NA,No,-159.600125,22.152461,no
C-0586,No Nematode,Kauai,NA,NA,No,-159.599392,22.154706,no
C-0587,No Nematode,Kauai,NA,NA,No,-159.664387,22.1219,no
C-0590,No Nematode,Kauai,NA,NA,No,-159.6644049,22.12187081,no
C-0591,No Nematode,Kauai,NA,NA,No,-159.661294,22.133733,no
C-0594,No Nematode,Kauai,NA,NA,No,-159.6621,22.133706,no
C-0595,No Nematode,Kauai,NA,NA,No,-159.662167,22.133764,no
C-0597,No Nematode,Kauai,NA,NA,No,-159.662922,22.134217,no
C-0598,No Nematode,Kauai,NA,NA,No,-159.663589,22.134256,no
C-0599,No Nematode,Kauai,NA,NA,No,-159.649411,22.141244,no
C-0605,No Nematode,Kauai,NA,NA,No,-159.6127,22.146669,no
C-0607,No Nematode,Kauai,NA,NA,No,-159.614975,22.150253,no
C-0609,No Nematode,Kauai,NA,NA,No,-159.664436,22.121864,no
C-0611,No Nematode,Kauai,NA,NA,No,-159.6643,22.121825,no
C-0612,No Nematode,Kauai,NA,NA,No,-159.664294,22.121761,no
C-0613,No Nematode,Kauai,NA,NA,No,-159.664458,22.121858,no
C-0615,No Nematode,Kauai,NA,NA,No,-159.664447,22.121931,no
C-0623,No Nematode,Molokai,NA,NA,No,-157.005031,21.176075,no
C-0625,No Nematode,Molokai,NA,NA,No,-157.006187,21.175444,no
C-0628,No Nematode,Molokai,NA,NA,No,-157.008131,21.175572,no
C-0631,No Nematode,Molokai,NA,NA,No,-157.008339,21.175453,no
C-0633,No Nematode,Molokai,NA,NA,No,-157.008131,21.175783,no
C-0642,No Nematode,Molokai,NA,NA,No,-157.0050491,21.17607655,no
C-0643,No Nematode,Molokai,NA,NA,No,-157.006269,21.175278,no
C-0654,No Nematode,Kauai,NA,NA,No,-159.660444,22.131578,no
C-0662,No Nematode,Kauai,NA,NA,No,-159.653297,22.142342,no
C-0665,No Nematode,Kauai,NA,NA,No,-159.655708,22.143836,no
C-0668,No Nematode,Kauai,NA,NA,No,-159.642553,22.129539,no
C-0669,No Nematode,Kauai,NA,NA,No,-159.642214,22.127189,no
C-0671,No Nematode,Kauai,NA,NA,No,-159.660194,22.130222,no
C-0673,No Nematode,Kauai,NA,NA,No,-159.661997,22.133714,no
C-0681,No Nematode,Kauai,NA,NA,No,-159.654969,22.124422,no
C-0684,No Nematode,Kauai,NA,NA,No,-159.655489,22.123967,no
C-0687,No Nematode,Kauai,NA,NA,No,-159.660297,22.131508,no
C-0692,No Nematode,Kauai,NA,NA,No,-159.66055,22.132619,no
C-0702,No Nematode,Kauai,NA,NA,No,-159.4175235,22.07134528,no
C-0708,No Nematode,Kauai,NA,NA,No,-159.66034204987838,22.131327595030427,no
C-0710,No Nematode,Kauai,NA,NA,No,-159.680144,22.118,no
C-0714,No Nematode,Kauai,NA,NA,No,-159.672739,22.110753,no
C-0716,No Nematode,Kauai,NA,NA,No,-159.672825,22.108214,no
C-0717,No Nematode,Kauai,NA,NA,No,-159.37909200000001,22.034486,no
C-0719,No Nematode,Kauai,NA,NA,No,-159.414567,22.070156,no
C-0722,No Nematode,Kauai,NA,NA,No,-159.660131,22.129594,no
C-0726,No Nematode,Kauai,NA,NA,No,-159.660228,22.130075,no
C-0729,No Nematode,Kauai,NA,NA,No,-159.6599895,22.13086433,no
C-0731,No Nematode,Kauai,NA,NA,No,-159.660483,22.131542,no
C-0733,No Nematode,Kauai,NA,NA,?,-159.652086,22.142203,no
C-0737,No Nematode,Kauai,NA,NA,No,-159.6577078,22.13008264,no
C-0738,No Nematode,Kauai,NA,NA,No,-159.661331,22.133928,no
C-0741,No Nematode,Maui,NA,NA,No,-156.456639,20.748408,no
C-0744,No Nematode,Kauai,NA,NA,No,-159.660375,22.131606,no
C-0745,No Nematode,Kauai,NA,NA,No,-159.661314,22.133914,no
C-0746,No Nematode,Kauai,NA,NA,No,-159.661331,22.133928,no
C-0747,No Nematode,Kauai,NA,NA,No,-159.660375,22.131606,no
C-0748,No Nematode,Maui,NA,NA,No,-156.520253,20.878897,no
C-0749,No Nematode,Kauai,NA,NA,No,-159.362844,21.950061,no
C-0752,No Nematode,Kauai,NA,NA,No,-159.650511,22.125469,no
C-0754,No Nematode,Molokai,NA,NA,No,-157.005236,21.177097,no
C-0761,No Nematode,Molokai,NA,NA,No,-157.005053,21.176421,no
C-0763,No Nematode,Molokai,NA,NA,No,-157.004993,21.176005,no
C-0766,No Nematode,Molokai,NA,NA,No,-157.005419,21.177119,no
C-0767,No Nematode,Molokai,NA,NA,No,-157.005953,21.175352,no
C-0777,No Nematode,Molokai,NA,NA,No,-157.00555,21.176969,no
C-0783,No Nematode,Kauai,NA,NA,No,-159.425981,22.081678,no
C-0786,No Nematode,Kauai,NA,NA,No,-159.422986,22.078722,no
C-0797,No Nematode,Kauai,NA,NA,No,-159.434047,22.092725,no
C-0804,No Nematode,Kauai,NA,NA,No,-159.6456000000848,22.15066865001401,no
C-0805,No Nematode,Kauai,NA,NA,No,-159.6455322,22.1508447,no
C-0806,No Nematode,Kauai,NA,NA,No,-159.6464265,22.15129598,no
C-0807,No Nematode,Kauai,NA,NA,No,-159.646475,22.151308,no
C-0809,No Nematode,Kauai,NA,NA,No,-159.641378,22.149061,no
C-0813,No Nematode,Kauai,NA,NA,No,-159.6427291,22.15087345,no
C-0815,No Nematode,Kauai,NA,NA,No,-159.641389,22.149119,no
C-0816,No Nematode,Kauai,NA,NA,No,-159.6409768,22.1485596,no
C-0818,No Nematode,Kauai,NA,NA,No,-159.641425,22.14915,no
C-0820,No Nematode,Kauai,NA,NA,No,-159.641375,22.149092,no
C-0821,No Nematode,Kauai,NA,NA,No,-159.641369,22.149078,no
C-0822,No Nematode,Kauai,NA,NA,No,-159.639882,22.146019,no
C-0823,No Nematode,Kauai,NA,NA,No,-159.6398939,22.1462255,no
C-0824,No Nematode,Kauai,NA,NA,No,-159.6456678,22.1504926,no
C-0825,No Nematode,Kauai,NA,NA,No,-159.6399157,22.1460336,no
C-0827,No Nematode,Kauai,NA,NA,No,-159.6404962,22.1433561,no
C-0828,No Nematode,Kauai,NA,NA,No,-159.640122,22.145192,no
C-0830,No Nematode,Kauai,NA,NA,No,-159.660553,22.132792,no
C-0834,No Nematode,Kauai,NA,NA,No,-159.651239,22.141631,no
C-0835,No Nematode,Kauai,NA,NA,No,-159.651753,22.141906,no
C-0836,No Nematode,Kauai,NA,NA,No,-159.652772,22.142044,no
C-0839,No Nematode,Kauai,NA,NA,No,-159.654475,22.143275,no
C-0842,No Nematode,Kauai,NA,NA,No,-159.391428,22.103764,no
C-0843,No Nematode,Kauai,NA,NA,No,-159.475747,22.198947,no
C-0844,No Nematode,Maui,NA,NA,No,-156.335756,20.670061,no
C-0848,No Nematode,Maui,NA,NA,No,-156.336625,20.670475,no
C-0850,No Nematode,Kauai,NA,NA,No,-159.390117,22.103872,no
C-0862,No Nematode,Kauai,NA,NA,No,-159.388972,22.1041,no
C-0863,No Nematode,Kauai,NA,NA,No,-159.47795,22.195639,no
C-0867,No Nematode,Kauai,NA,NA,No,-159.664547,22.134336,no
C-0871,No Nematode,Kauai,NA,NA,No,-159.666558,22.1353,no
C-0873,No Nematode,Maui,NA,NA,No,-156.545958,20.880364,no
C-0881,No Nematode,Molokai,NA,NA,No,-156.974289,21.139542,no
C-0882,No Nematode,Kauai,NA,NA,No,-159.473528,22.2018,no
C-0885,No Nematode,Molokai,NA,NA,No,-157.048623,21.165624,no
C-0886,No Nematode,Kauai,NA,NA,No,-159.473622,22.201636,no
C-0887,No Nematode,Kauai,NA,NA,No,-159.357194,22.046644,no
C-0893,No Nematode,Molokai,NA,NA,No,-157.048985,21.166405,no
C-0894,No Nematode,Kauai,NA,NA,No,-159.475361,22.199061,no
C-0895,No Nematode,Kauai,NA,NA,No,-159.360792,22.04295,no
C-0899,No Nematode,Maui,NA,NA,No,-156.331972,20.676633,no
C-0902,No Nematode,Kauai,NA,NA,No,-159.391669,22.086656,no
C-0904,No Nematode,Maui,NA,NA,No,-156.0758536,20.79521364,no
C-0915,No Nematode,Kauai,NA,NA,No,-159.478189,22.194933,no
C-0918,No Nematode,Kauai,NA,NA,No,-159.392233,22.087308,no
C-0924,No Nematode,Kauai,NA,NA,No,-159.478072,22.195114,no
C-0927,No Nematode,Kauai,NA,NA,No,-159.478622,22.194375,no
C-0928,No Nematode,Kauai,NA,NA,No,-159.477989,22.195386,no
C-0934,No Nematode,Kauai,NA,NA,No,-159.389825,22.085567,no
C-0938,No Nematode,Kauai,NA,NA,No,-159.389706,22.085575,no
C-0941,No Nematode,Kauai,NA,NA,No,-159.385944,22.084078,no
C-0943,No Nematode,Maui,NA,NA,No,-156.186294,20.874647,no
C-0951,No Nematode,Maui,NA,NA,No,-156.186331,20.874606,no
C-0953,No Nematode,Kauai,NA,NA,No,-159.388061,22.085408,no
C-0955,No Nematode,Maui,NA,NA,No,-156.186486,20.874619,no
C-0961,No Nematode,Kauai,NA,NA,No,-159.6600271,22.1308186,no
C-0962,No Nematode,Kauai,NA,NA,No,-159.660159,22.129733,no
