collection_category,fixed_substrate,isotype,strain,c_label,s_label,worms_on_sample,approximate_number_of_worms,males_observed,latitude,longitude,island,substrate,landscape,sky_view,gridsect,gridsect_number,gridsect_direction,gridsect_radius,substrate_temperature,substrate_moisture,ambient_humidity,ambient_temperature,altitude,date,time,pcr_positive,species_id,photo_url_thumb
C. elegans,Leaf litter,ECA778,ECA766,C-2840,S-07359,Yes,Proliferating (25+),no,20.039878,-155.441608,Big Island,Leaf litter,Wild forest,Partially Obstructed,yes,3,C,3,20.7,70,82.7,22.6,670.6117647,2017-08-17,14:53:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2840.thumb.jpg
C. elegans,Leaf litter,ECA778,ECA767,C-2840,S-07365,Yes,Proliferating (25+),no,20.039878,-155.441608,Big Island,Leaf litter,Wild forest,Partially Obstructed,yes,3,C,3,20.7,70,82.7,22.6,670.6117647,2017-08-17,14:53:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2840.thumb.jpg
C. elegans,Leaf litter,ECA768,ECA768,C-2856,S-07368,Yes,Some (11-25),no,20.039914,-155.441556,Big Island,Leaf litter,Wild forest,Partially Obstructed,yes,3,A,2,21.9,69,87.6,21.9,669.971831,2017-08-17,14:51:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2856.thumb.jpg
C. elegans,Leaf litter,ECA812,ECA771,C-2879,S-07384,Yes,Few (4-10),no,20.039864,-155.441644,Big Island,Leaf litter,Wild forest,Partially Obstructed,yes,3,E,3,20.5,67,84.2,22.6,671.08125,2017-08-17,14:55:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2879.thumb.jpg
C. elegans,Leaf litter,ECA812,ECA773,C-2879,S-07387,Yes,Few (4-10),no,20.039864,-155.441644,Big Island,Leaf litter,Wild forest,Partially Obstructed,yes,3,E,3,20.5,67,84.2,22.6,671.08125,2017-08-17,14:55:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2879.thumb.jpg
C. elegans,Leaf litter,ECA730,ECA730,C-3058,S-06322,Yes,Very Few (1-3),yes,19.423869,-155.222483,Big Island,Leaf litter,Rural garden,Partially Obstructed,yes,1,C,1,15,NA,94,18.4,1121.234234,2017-08-14,08:00:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3058.thumb.jpg
C. elegans,Leaf litter,ECA712,ECA711,C-3097,S-06054,Yes,Proliferating (25+),no,19.423864,-155.222478,Big Island,Leaf litter,Rural garden,Partially Obstructed,yes,1,A,1,15.4,71.5,94,18.5,1119.876923,2017-08-14,07:56:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3097.thumb.jpg
C. elegans,Leaf litter,ECA712,ECA712,C-3097,S-06058,Yes,Proliferating (25+),no,19.423864,-155.222478,Big Island,Leaf litter,Rural garden,Partially Obstructed,yes,1,A,1,15.4,71.5,94,18.5,1119.876923,2017-08-14,07:56:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3097.thumb.jpg
C. elegans,Leaf litter,ECA712,ECA713,C-3097,S-06059,Yes,Proliferating (25+),no,19.423864,-155.222478,Big Island,Leaf litter,Rural garden,Partially Obstructed,yes,1,A,1,15.4,71.5,94,18.5,1119.876923,2017-08-14,07:56:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3097.thumb.jpg
C. elegans,Leaf litter,ECA712,ECA714,C-3097,S-06073,Yes,Proliferating (25+),no,19.423864,-155.222478,Big Island,Leaf litter,Rural garden,Partially Obstructed,yes,1,A,1,15.4,71.5,94,18.5,1119.876923,2017-08-14,07:56:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3097.thumb.jpg
C. elegans,Leaf litter,ECA712,ECA715,C-3097,S-06076,Yes,Proliferating (25+),no,19.423864,-155.222478,Big Island,Leaf litter,Rural garden,Partially Obstructed,yes,1,A,1,15.4,71.5,94,18.5,1119.876923,2017-08-14,07:56:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3097.thumb.jpg
C. elegans,Leaf litter,ECA812,ECA812,C-3143,S-07541,Yes,Some (11-25),no,20.039917,-155.441542,Big Island,Leaf litter,Wild forest,Partially Obstructed,yes,3,D,2,19.8,68.5,80.9,22.6,655.4961832,2017-08-17,14:55:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3143.thumb.jpg
C. elegans,Leaf litter,ECA812,ECA813,C-3143,S-07638,Yes,Some (11-25),no,20.039917,-155.441542,Big Island,Leaf litter,Wild forest,Partially Obstructed,yes,3,D,2,19.8,68.5,80.9,22.6,655.4961832,2017-08-17,14:55:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3143.thumb.jpg
C. elegans,Leaf litter,ECA778,ECA810,C-3151,S-07530,Yes,Few (4-10),no,20.039897,-155.441531,Big Island,Leaf litter,Wild forest,Partially Obstructed,yes,3,C,1,19.8,67.5,81.9,22.6,656.5362319,2017-08-17,14:54:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3151.thumb.jpg
C. elegans,Leaf litter,ECA778,ECA811,C-3151,S-07534,Yes,Few (4-10),no,20.039897,-155.441531,Big Island,Leaf litter,Wild forest,Partially Obstructed,yes,3,C,1,19.8,67.5,81.9,22.6,656.5362319,2017-08-17,14:54:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3151.thumb.jpg
C. elegans,Fruit/nut/veg,ECA768,ECA772,C-3155,S-07385,Yes,Some (11-25),no,20.039908,-155.441503,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,yes,3,B,2,21.5,NA,NA,NA,655.4036697,2017-08-17,14:53:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3155.thumb.jpg
C. elegans,Fruit/nut/veg,ECA777,ECA777,C-3155,S-07414,Yes,Some (11-25),no,20.039908,-155.441503,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,yes,3,B,2,21.5,NA,NA,NA,655.4036697,2017-08-17,14:53:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3155.thumb.jpg
C. elegans,Fruit/nut/veg,ECA778,ECA778,C-3155,S-07415,Yes,Some (11-25),no,20.039908,-155.441503,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,yes,3,B,2,21.5,NA,NA,NA,655.4036697,2017-08-17,14:53:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3155.thumb.jpg
C. elegans,Leaf litter,ECA760,ECA754,C-3189,S-07266,Yes,Some (11-25),no,20.039869,-155.441464,Big Island,Leaf litter,Wild forest,Partially Obstructed,yes,3,A,1,21.6,68.5,85.7,21.9,653.640118,2017-08-17,14:50:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3189.thumb.jpg
C. elegans,Leaf litter,ECA812,ECA755,C-3189,S-07267,Yes,Some (11-25),no,20.039869,-155.441464,Big Island,Leaf litter,Wild forest,Partially Obstructed,yes,3,A,1,21.6,68.5,85.7,21.9,653.640118,2017-08-17,14:50:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3189.thumb.jpg
C. elegans,Fruit/nut/veg,ECA760,ECA758,C-3197,S-07305,Yes,Some (11-25),no,20.039886,-155.441531,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,yes,3,F,1,19.4,NA,76.5,23.3,651.980315,2017-08-17,14:57:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3197.thumb.jpg
C. elegans,Fruit/nut/veg,ECA812,ECA759,C-3197,S-07306,Yes,Some (11-25),no,20.039886,-155.441531,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,yes,3,F,1,19.4,NA,76.5,23.3,651.980315,2017-08-17,14:57:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3197.thumb.jpg
C. elegans,Fruit/nut/veg,ECA807,ECA770,C-3201,S-07378,Yes,Proliferating (25+),no,20.039869,-155.441531,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,yes,3,A,0,19.4,NA,78.2,24,649.3469388,2017-08-17,14:58:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3201.thumb.jpg
C. elegans,Fruit/nut/veg,ECA812,ECA774,C-3201,S-07388,Yes,Proliferating (25+),no,20.039869,-155.441531,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,yes,3,A,0,19.4,NA,78.2,24,649.3469388,2017-08-17,14:58:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3201.thumb.jpg
C. elegans,Fruit/nut/veg,ECA812,ECA775,C-3201,S-07391,Yes,Proliferating (25+),no,20.039869,-155.441531,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,yes,3,A,0,19.4,NA,78.2,24,649.3469388,2017-08-17,14:58:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3201.thumb.jpg
C. elegans,Fruit/nut/veg,ECA812,ECA776,C-3201,S-07392,Yes,Proliferating (25+),no,20.039869,-155.441531,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,yes,3,A,0,19.4,NA,78.2,24,649.3469388,2017-08-17,14:58:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3201.thumb.jpg
C. elegans,Fruit/nut/veg,ECA807,ECA807,C-3201,S-07395,Yes,Proliferating (25+),no,20.039869,-155.441531,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,yes,3,A,0,19.4,NA,78.2,24,649.3469388,2017-08-17,14:58:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3201.thumb.jpg
Oscheius sp.,Leaf litter,NA,NA,C-0271,S-07475,Yes,Few (4-10),no,22.081467,-159.426286,Kauai,Leaf litter,Wild forest,Obstructed,yes,9,D,2,23,59,77.5,24.9,281.0586957,2017-08-09,11:48:00,1,Oscheius sp.,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0271.thumb.jpg
Oscheius sp.,Fruit/nut/veg,NA,NA,C-0632,S-06487,Yes,Some (11-25),no,21.175719,-157.008247,Molokai,Fruit/nut/vegetable,Wild forest,Partially Obstructed,yes,19,A,2,21.9,67,89.6,22.6,497.7321429,2017-08-12,09:32:00,1,Oscheius sp.,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0632.thumb.jpg
Oscheius sp.,Leaf litter,NA,NA,C-0697,S-05612,Yes,Very Few (1-3),no,22.0713,-159.417514,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,7,C,2,24.6,69,69.6,28.1,160.0215827,2017-08-09,10:52:00,1,Oscheius sp.,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0697.thumb.jpg
Oscheius sp.,Leaf litter,NA,NA,C-0994,S-05752,Yes,Proliferating (25+),yes,22.194444,-159.478561,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,11,D,3,21.7,63,76,26,188.0660066,2017-08-10,11:37:00,1,Oscheius sp.,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0994.thumb.jpg
Oscheius sp.,Leaf litter,NA,NA,C-2832,S-07400,Yes,Some (11-25),no,20.039844,-155.441644,Big Island,Leaf litter,Wild forest,Partially Obstructed,yes,3,F,2,20.5,69,80.8,22.6,671.333887,2017-08-17,14:58:00,1,Oscheius sp.,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2832.thumb.jpg
C. briggsae,Leaf litter,NA,NA,C-0264,S-05581,Yes,Few (4-10),no,22.08145,-159.426125,Kauai,Leaf litter,Wild forest,Obstructed,yes,9,F,2,21.9,66.5,80.4,25.6,281.4824121,2017-08-09,11:42:00,1,C. briggsae,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0264.thumb.jpg
C. briggsae,Leaf litter,NA,NA,C-0266,S-07467,Yes,Few (4-10),no,22.081364,-159.426144,Kauai,Leaf litter,Wild forest,Obstructed,yes,9,D,3,22.7,NA,79.4,24.9,281.4052288,2017-08-09,11:47:00,1,C. briggsae,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0266.thumb.jpg
C. briggsae,Leaf litter,NA,NA,C-0266,S-07472,Yes,Few (4-10),no,22.081364,-159.426144,Kauai,Leaf litter,Wild forest,Obstructed,yes,9,D,3,22.7,NA,79.4,24.9,281.4052288,2017-08-09,11:47:00,1,C. briggsae,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0266.thumb.jpg
C. briggsae,Leaf litter,NA,NA,C-0271,S-07483,Yes,Few (4-10),no,22.081467,-159.426286,Kauai,Leaf litter,Wild forest,Obstructed,yes,9,D,2,23,59,77.5,24.9,281.0586957,2017-08-09,11:48:00,1,C. briggsae,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0271.thumb.jpg
C. briggsae,Leaf litter,NA,NA,C-0271,S-07499,Yes,Few (4-10),no,22.081467,-159.426286,Kauai,Leaf litter,Wild forest,Obstructed,yes,9,D,2,23,59,77.5,24.9,281.0586957,2017-08-09,11:48:00,1,C. briggsae,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0271.thumb.jpg
C. briggsae,Leaf litter,NA,NA,C-0288,S-07481,Yes,Few (4-10),no,22.081539,-159.426136,Kauai,Leaf litter,Wild forest,Obstructed,yes,9,A,3,22.1,69.5,80.4,25.6,287.6963907,2017-08-09,11:42:00,1,C. briggsae,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0288.thumb.jpg
C. briggsae,Leaf litter,NA,NA,C-0288,S-07496,Yes,Few (4-10),no,22.081539,-159.426136,Kauai,Leaf litter,Wild forest,Obstructed,yes,9,A,3,22.1,69.5,80.4,25.6,287.6963907,2017-08-09,11:42:00,1,C. briggsae,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0288.thumb.jpg
C. briggsae,Leaf litter,NA,NA,C-0418,S-05793,Yes,Very Few (1-3),no,22.131522,-159.660467,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,10,C,3,18.3,48,64.3,23.3,1165.131455,2017-08-10,11:20:00,1,C. briggsae,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0418.thumb.jpg
C. briggsae,Leaf litter,NA,NA,C-0776,S-05566,Yes,Very Few (1-3),no,22.081653,-159.425986,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,8,D,3,22.4,64,78.7,24.9,277.3657143,2017-08-09,11:30:00,1,C. briggsae,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0776.thumb.jpg
C. briggsae,Leaf litter,NA,NA,C-0781,S-05631,Yes,Some (11-25),no,22.081617,-159.425939,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,8,E,3,21.6,61.5,77.1,24.9,272.6848485,2017-08-09,11:29:00,1,C. briggsae,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0781.thumb.jpg
C. briggsae,Leaf litter,NA,NA,C-0781,S-05632,Yes,Some (11-25),no,22.081617,-159.425939,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,8,E,3,21.6,61.5,77.1,24.9,272.6848485,2017-08-09,11:29:00,1,C. briggsae,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0781.thumb.jpg
C. briggsae,Leaf litter,NA,NA,C-0921,S-05784,Yes,Proliferating (25+),no,22.194403,-159.478553,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,11,B,2,23.3,66,78.5,25.666666666666668,198.68,2017-08-10,11:33:00,1,C. briggsae,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0921.thumb.jpg
C. briggsae,Leaf litter,NA,NA,C-0921,S-05785,Yes,Proliferating (25+),no,22.194403,-159.478553,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,11,B,2,23.3,66,78.5,25.666666666666668,198.68,2017-08-10,11:33:00,1,C. briggsae,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0921.thumb.jpg
C. briggsae,Leaf litter,NA,NA,C-0958,S-05741,Yes,Very Few (1-3),no,22.194383,-159.478608,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,11,D,1,23.2,59,75.6,25.666666666666668,198.9180328,2017-08-10,11:36:00,1,C. briggsae,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0958.thumb.jpg
C. briggsae,Leaf litter,NA,NA,C-0982,S-05954,Yes,Proliferating (25+),no,22.194408,-159.4786,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,11,A,3,23.5,43,79,26.5,191.8259494,2017-08-10,11:31:00,1,C. briggsae,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0982.thumb.jpg
C. briggsae,Leaf litter,NA,NA,C-0982,S-05957,Yes,Proliferating (25+),no,22.194408,-159.4786,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,11,A,3,23.5,43,79,26.5,191.8259494,2017-08-10,11:31:00,1,C. briggsae,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0982.thumb.jpg
C. briggsae,Leaf litter,NA,NA,C-1000,S-05787,Yes,Proliferating (25+),no,22.194356,-159.478597,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,11,F,1,24.5,49.5,76.6,27.055555555555557,200.0536585,2017-08-10,11:29:00,1,C. briggsae,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-1000.thumb.jpg
C. briggsae,Leaf litter,NA,NA,C-1000,S-05788,Yes,Proliferating (25+),no,22.194356,-159.478597,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,11,F,1,24.5,49.5,76.6,27.055555555555557,200.0536585,2017-08-10,11:29:00,1,C. briggsae,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-1000.thumb.jpg
C. briggsae,Leaf litter,NA,NA,C-1002,S-05765,Yes,Some (11-25),no,22.194392,-159.478603,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,11,E,3,22.8,49,76.9,26,189.630137,2017-08-10,11:39:00,1,C. briggsae,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-1002.thumb.jpg
C. briggsae,Leaf litter,NA,NA,C-1002,S-05766,Yes,Some (11-25),no,22.194392,-159.478603,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,11,E,3,22.8,49,76.9,26,189.630137,2017-08-10,11:39:00,1,C. briggsae,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-1002.thumb.jpg
C. briggsae,Leaf litter,NA,NA,C-1004,S-05763,Yes,Some (11-25),no,22.194347,-159.478572,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,11,F,2,24.5,63,77.1,26.33333333333334,200.3820225,2017-08-10,11:30:00,1,C. briggsae,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-1004.thumb.jpg
C. briggsae,Leaf litter,NA,NA,C-1004,S-05764,Yes,Some (11-25),no,22.194347,-159.478572,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,11,F,2,24.5,63,77.1,26.33333333333334,200.3820225,2017-08-10,11:30:00,1,C. briggsae,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-1004.thumb.jpg
C. briggsae,Leaf litter,NA,NA,C-1089,S-05709,Yes,Proliferating (25+),no,22.194411,-159.478614,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,11,F,3,23.3,62.5,75.5,26.7,193.4864865,2017-08-10,11:28:00,1,C. briggsae,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-1089.thumb.jpg
C. briggsae,Leaf litter,NA,NA,C-1121,S-05732,Yes,Proliferating (25+),no,22.194411,-159.478544,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,11,C,1,22.5,66,76.6,25.666666666666668,198.4620253,2017-08-10,11:34:00,1,C. briggsae,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-1121.thumb.jpg
C. briggsae,Leaf litter,NA,NA,C-1121,S-05733,Yes,Proliferating (25+),no,22.194411,-159.478544,Kauai,Leaf litter,Wild forest,Partially Obstructed,yes,11,C,1,22.5,66,76.6,25.666666666666668,198.4620253,2017-08-10,11:34:00,1,C. briggsae,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-1121.thumb.jpg
C. briggsae,Leaf litter,NA,NA,C-2527,S-06740,Yes,Few (4-10),no,20.887489,-156.307192,Maui,Leaf litter,Wild forest,Partially Obstructed,yes,15,A,1,23.1,60,73.1,25.6,200.1682692,2017-08-15,15:25:00,1,C. briggsae,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2527.thumb.jpg
C. briggsae,Fruit/nut/veg,NA,NA,C-2604,S-06898,Yes,Some (11-25),no,20.664919,-156.049008,Maui,Fruit/nut/vegetable,Wild forest,Partially Obstructed,yes,17,B,3,24,64.5,70.5,26.7,103.5895652,2017-08-17,15:38:00,1,C. briggsae,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2604.thumb.jpg
C. briggsae,Fruit/nut/veg,NA,NA,C-2604,S-06900,Yes,Some (11-25),no,20.664919,-156.049008,Maui,Fruit/nut/vegetable,Wild forest,Partially Obstructed,yes,17,B,3,24,64.5,70.5,26.7,103.5895652,2017-08-17,15:38:00,1,C. briggsae,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2604.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0262,S-05605,Yes,Few (4-10),no,22.081506,-159.426217,Kauai,Leaf litter,Wild forest,Obstructed,yes,9,F,3,22,64.5,77.1,24.9,282.74375,2017-08-09,11:40:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0262.thumb.jpg
PCR -,Flower,NA,NA,C-0263,S-07506,Yes,Proliferating (25+),yes,22.081378,-159.426053,Kauai,Rotting flower,Wild forest,Obstructed,yes,9,B,1,22.1,NA,76.1,25.6,281.6298701,2017-08-09,11:44:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0263.thumb.jpg
PCR -,Flower,NA,NA,C-0263,S-07512,Yes,Proliferating (25+),yes,22.081378,-159.426053,Kauai,Rotting flower,Wild forest,Obstructed,yes,9,B,1,22.1,NA,76.1,25.6,281.6298701,2017-08-09,11:44:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0263.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0265,S-05185,Yes,Proliferating (25+),no,22.081536,-159.426114,Kauai,Leaf litter,Wild forest,Obstructed,yes,9,A,1,22.1,65.5,76.1,26.3,285.0911111,2017-08-09,11:43:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0265.thumb.jpg
PCR -,Leaf litter,NA,NA,C-0265,S-07517,Yes,Proliferating (25+),no,22.081536,-159.426114,Kauai,Leaf litter,Wild forest,Obstructed,yes,9,A,1,22.1,65.5,76.1,26.3,285.0911111,2017-08-09,11:43:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0265.thumb.jpg
