isotype,strain,c_label,s_label,worms_on_sample,approximate_number_of_worms,latitude,longitude,island,landscape,sky_view,gridsect,gridsect_number,gridsect_direction,gridsect_radius,substrate_temperature,substrate_moisture,ambient_humidity,ambient_temperature,altitude,date,time,pcr_positive,species_id,photo_url_thumb,fixed_substrate
NA,NA,C-0007,S-05029,Yes,Very Few (1-3),21.307472,-157.722292,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,24.4,40,72.2,27.4,218.5114155,2017-08-02,10:52:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0007.thumb.jpg,Leaf litter
NA,NA,C-0007,S-05031,Yes,Very Few (1-3),21.307472,-157.722292,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,24.4,40,72.2,27.4,218.5114155,2017-08-02,10:52:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0007.thumb.jpg,Leaf litter
NA,NA,C-0008,NA,Tracks,NA,21.307517,-157.722289,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,24.1,NA,72.6,26.7,213.4736842,2017-08-02,10:57:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0008.thumb.jpg,Fungus
NA,NA,C-0009,S-05022,Yes,Few (4-10),21.308419,-157.722431,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,25.6,44,73.8,27.4,250.5477387,2017-08-02,11:08:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0009.thumb.jpg,Leaf litter
NA,NA,C-0009,S-05023,Yes,Few (4-10),21.308419,-157.722431,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,25.6,44,73.8,27.4,250.5477387,2017-08-02,11:08:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0009.thumb.jpg,Leaf litter
NA,NA,C-0009,S-05030,Yes,Few (4-10),21.308419,-157.722431,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,25.6,44,73.8,27.4,250.5477387,2017-08-02,11:08:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0009.thumb.jpg,Leaf litter
NA,NA,C-0010,NA,No,NA,21.308633,-157.722608,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,24.5,39,79.1,27.4,262.4184397,2017-08-02,11:03:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0010.thumb.jpg,Leaf litter
NA,NA,C-0011,NA,No,NA,21.307575,-157.722578,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,25.8,NA,71.7,28.1,222.2000657,2017-08-02,10:49:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0011.thumb.jpg,Vegetation
NA,NA,C-0012,S-05041,Yes,Very Few (1-3),21.307931,-157.722147,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,24.1,33.5,73.5,28.1,309.9892473,2017-08-02,11:24:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0012.thumb.jpg,Leaf litter
NA,NA,C-0013,NA,No,NA,21.309486,-157.721008,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,25.6,NA,73.5,28.1,326.0833664,2017-08-02,11:27:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0013.thumb.jpg,Vegetation
NA,NA,C-0014,NA,Tracks,NA,21.311314,-157.721019,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,24.3,45,71.3,28.2,358.6326531,2017-08-02,11:42:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0014.thumb.jpg,Leaf litter
NA,NA,C-0015,S-05036,Yes,Very Few (1-3),21.313192,-157.721969,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,22.9,49.5,78.9,24.7,395.3019391,2017-08-02,11:53:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0015.thumb.jpg,Leaf litter
NA,NA,C-0016,S-05021,Yes,Very Few (1-3),21.314133000000002,-157.722458,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,20.9,55.5,81.3,25.3,424.9304348,2017-08-02,12:01:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0016.thumb.jpg,Fruit
NA,NA,C-0017,NA,No,NA,21.314208,-157.722581,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,21.6,49.5,86.8,24.7,436.3756098,2017-08-02,12:11:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0017.thumb.jpg,Leaf litter
NA,NA,C-0018,NA,No,NA,21.318233,-157.723625,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,27.2,32,81.5,27.3,545.13,2017-08-02,12:36:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0018.thumb.jpg,Leaf litter
NA,NA,C-0019,NA,No,NA,21.320464,-157.723114,Oahu,Wild forest,Full,no,NA,NA,NA,26.7,60,87.7,24,631.4885496,2017-08-02,13:16:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0019.thumb.jpg,Fruit
NA,NA,C-0020,NA,No,NA,21.315164,-157.723381,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,21.9,54.5,89.2,24,464.1857143,2017-08-02,13:40:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0020.thumb.jpg,Leaf litter
NA,NA,C-0021,S-05024,Yes,Very Few (1-3),21.314639,-157.723014,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,21.7,58,90.6,24,445.5323741,2017-08-02,13:45:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0021.thumb.jpg,Leaf litter
NA,NA,C-0021,S-05028,Yes,Very Few (1-3),21.314639,-157.723014,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,21.7,58,90.6,24,445.5323741,2017-08-02,13:45:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0021.thumb.jpg,Leaf litter
NA,NA,C-0022,S-05033,Yes,Few (4-10),21.313558,-157.722117,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,22.2,52.5,87.7,24.7,413.4662921,2017-08-02,13:50:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0022.thumb.jpg,Leaf litter
NA,NA,C-0023,NA,No,NA,21.311078,-157.721069,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,22.9,53.5,85.7,24.7,343.2487047,2017-08-02,13:58:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0023.thumb.jpg,Leaf litter
NA,NA,C-0024,NA,No,NA,21.364092,-157.781353,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,27,39,70.3,28.77777777777778,234.638009,2017-08-03,11:37:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0024.thumb.jpg,Leaf litter
NA,NA,C-0025,S-05063,Yes,Very Few (1-3),21.315175,-157.857217,Oahu,Rural garden,Partially Obstructed,no,NA,NA,NA,32.3,55,54.9,34.3,8.643432716,2017-08-03,14:55:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0025.thumb.jpg,Fruit
NA,NA,C-0025,S-05067,Yes,Very Few (1-3),21.315175,-157.857217,Oahu,Rural garden,Partially Obstructed,no,NA,NA,NA,32.3,55,54.9,34.3,8.643432716,2017-08-03,14:55:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0025.thumb.jpg,Fruit
NA,NA,C-0026,S-05070,Yes,Very Few (1-3),21.315108,-157.857536,Oahu,Rural garden,Partially Obstructed,no,NA,NA,NA,26.8,54.5,55,31.5,9.704651163,2017-08-03,15:00:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0026.thumb.jpg,Leaf litter
NA,NA,C-0027,NA,Tracks,NA,21.333292,-157.801125,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,23,44,98.6,22.9,137.3561644,2017-08-04,07:16:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0027.thumb.jpg,Flower
NA,NA,C-0028,S-05017,Yes,Very Few (1-3),21.309397,-157.721036,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,23.5,53,73.5,28.1,316.4871795,2017-08-02,11:37:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0028.thumb.jpg,Leaf litter
NA,NA,C-0028,S-05026,Yes,Very Few (1-3),21.309397,-157.721036,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,23.5,53,73.5,28.1,316.4871795,2017-08-02,11:37:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0028.thumb.jpg,Leaf litter
NA,NA,C-0029,S-05113,Yes,Proliferating (25+),21.380456,-157.799711,Oahu,Rural garden,Partially Obstructed,no,NA,NA,NA,26.9,59,79.9,27,98.8828125,2017-08-04,09:51:00,1,C. oiwi,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0029.thumb.jpg,Fruit
NA,NA,C-0030,S-05027,Yes,Very Few (1-3),21.305025,-157.724289,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,29.2,NA,34,29.5,93.72883436,2017-08-02,09:38:00,1,Oscheius sp.,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0030.thumb.jpg,Leaf litter
NA,NA,C-0031,NA,No,NA,21.385858,-157.80604400000001,Oahu,Rural garden,Partially Obstructed,no,NA,NA,NA,26.6,39.5,73.1,27,69.20264317,2017-08-04,10:45:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0031.thumb.jpg,Fruit
NA,NA,C-0032,S-05091,Yes,Proliferating (25+),21.385961000000002,-157.806158,Oahu,Rural garden,Partially Obstructed,no,NA,NA,NA,26.9,37,81,27,68.61188811,2017-08-04,10:47:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0032.thumb.jpg,Leaf litter
NA,NA,C-0032,S-05093,Yes,Proliferating (25+),21.385961000000002,-157.806158,Oahu,Rural garden,Partially Obstructed,no,NA,NA,NA,26.9,37,81,27,68.61188811,2017-08-04,10:47:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0032.thumb.jpg,Leaf litter
NA,NA,C-0033,NA,No,NA,21.385447,-157.806431,Oahu,Rural garden,Partially Obstructed,no,NA,NA,NA,26,NA,73.1,27,69.7699115,2017-08-04,10:41:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0033.thumb.jpg,Flower
NA,NA,C-0034,S-05115,Yes,Very Few (1-3),21.386039,-157.806203,Oahu,Rural garden,Partially Obstructed,no,NA,NA,NA,24.1,30,75.4,27,67.60194175,2017-08-04,10:49:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0034.thumb.jpg,Leaf litter
NA,NA,C-0035,NA,No,NA,21.386431,-157.803261,Oahu,Rural garden,Partially Obstructed,no,NA,NA,NA,24.9,32,78.1,26.3,67.73280423,2017-08-04,10:22:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0035.thumb.jpg,Leaf litter
NA,NA,C-0036,NA,Tracks,NA,21.381903,-157.803325,Oahu,Rural garden,Partially Obstructed,no,NA,NA,NA,25.2,NA,81,26.3,78.93977273,2017-08-04,10:06:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0036.thumb.jpg,Fruit
NA,NA,C-0037,S-05094,Yes,Proliferating (25+),21.380194,-157.803497,Oahu,Rural garden,Obstructed,no,NA,NA,NA,25.1,56,75,27.7,87.86738351,2017-08-04,09:59:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0037.thumb.jpg,Flower
NA,NA,C-0037,S-05095,Yes,Proliferating (25+),21.380194,-157.803497,Oahu,Rural garden,Obstructed,no,NA,NA,NA,25.1,56,75,27.7,87.86738351,2017-08-04,09:59:00,1,C. oiwi,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0037.thumb.jpg,Flower
NA,NA,C-0037,S-05104,Yes,Proliferating (25+),21.380194,-157.803497,Oahu,Rural garden,Obstructed,no,NA,NA,NA,25.1,56,75,27.7,87.86738351,2017-08-04,09:59:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0037.thumb.jpg,Flower
NA,NA,C-0038,S-05003,Yes,Very Few (1-3),21.312139,-157.721692,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,22.8,53.5,71.1,26.7,389.2580645,2017-08-02,11:49:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0038.thumb.jpg,Leaf litter
NA,NA,C-0038,S-05019,Yes,Very Few (1-3),21.312139,-157.721692,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,22.8,53.5,71.1,26.7,389.2580645,2017-08-02,11:49:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0038.thumb.jpg,Leaf litter
NA,NA,C-0039,S-05012,Yes,Very Few (1-3),21.314181,-157.722486,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,21.6,57.5,85.6,24.7,431.312,2017-08-02,11:59:00,1,Oscheius sp.,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0039.thumb.jpg,Leaf litter
NA,NA,C-0040,S-05098,Yes,Few (4-10),21.380525,-157.799769,Oahu,Rural garden,Partially Obstructed,no,NA,NA,NA,26.5,50,77.1,27,98.62823062,2017-08-04,09:53:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0040.thumb.jpg,Fruit
NA,NA,C-0040,S-05101,Yes,Few (4-10),21.380525,-157.799769,Oahu,Rural garden,Partially Obstructed,no,NA,NA,NA,26.5,50,77.1,27,98.62823062,2017-08-04,09:53:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0040.thumb.jpg,Fruit
NA,NA,C-0041,S-05011,Yes,Very Few (1-3),21.306561,-157.723156,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,24.8,44.5,73.7,27.4,152.0687204,2017-08-02,10:42:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0041.thumb.jpg,Leaf litter
NA,NA,C-0042,NA,No,NA,21.315672,-157.856792,Oahu,Rural garden,Partially Obstructed,no,NA,NA,NA,30.2,NA,51.1,31.5,28.54913295,2017-08-03,14:50:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0042.thumb.jpg,Flower
NA,NA,C-0043,S-05032,Yes,Some (11-25),21.315943999999998,-157.857283,Oahu,Rural garden,Partially Obstructed,no,NA,NA,NA,30,NA,58.2,30.8,23.12322946,2017-08-03,15:17:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0043.thumb.jpg,Flower
NA,NA,C-0043,S-05038,Yes,Some (11-25),21.315943999999998,-157.857283,Oahu,Rural garden,Partially Obstructed,no,NA,NA,NA,30,NA,58.2,30.8,23.12322946,2017-08-03,15:17:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0043.thumb.jpg,Flower
NA,NA,C-0043,S-05040,Yes,Some (11-25),21.315943999999998,-157.857283,Oahu,Rural garden,Partially Obstructed,no,NA,NA,NA,30,NA,58.2,30.8,23.12322946,2017-08-03,15:17:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0043.thumb.jpg,Flower
NA,NA,C-0044,NA,No,NA,21.333839,-157.80075,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,23.3,51.5,93.2,23.6,140.604878,2017-08-04,07:20:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0044.thumb.jpg,Flower
NA,NA,C-0045,S-05080,Yes,Few (4-10),21.320142,-157.855097,Oahu,Urban garden,Partially Obstructed,no,NA,NA,NA,25.4,40,71.7,26.3,16.9713877,2017-08-04,08:40:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0045.thumb.jpg,Fruit
NA,NA,C-0045,S-05081,Yes,Few (4-10),21.320142,-157.855097,Oahu,Urban garden,Partially Obstructed,no,NA,NA,NA,25.4,40,71.7,26.3,16.9713877,2017-08-04,08:40:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0045.thumb.jpg,Fruit
NA,NA,C-0046,S-05002,Yes,Few (4-10),21.306325,-157.724197,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,24.3,58.5,72.4,28.1,100.684466,2017-08-02,09:55:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0046.thumb.jpg,Fruit
NA,NA,C-0046,S-05004,Yes,Few (4-10),21.306325,-157.724197,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,24.3,58.5,72.4,28.1,100.684466,2017-08-02,09:55:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0046.thumb.jpg,Fruit
NA,NA,C-0046,S-05008,Yes,Few (4-10),21.306325,-157.724197,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,24.3,58.5,72.4,28.1,100.684466,2017-08-02,09:55:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0046.thumb.jpg,Fruit
NA,NA,C-0047,S-05103,Yes,Very Few (1-3),21.380372,-157.799964,Oahu,Rural garden,Partially Obstructed,no,NA,NA,NA,27.3,NA,77.1,26.3,99.87410072,2017-08-04,09:35:00,1,C. oiwi,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0047.thumb.jpg,Fruit
NA,NA,C-0048,S-05090,Yes,Very Few (1-3),21.379644,-157.799853,Oahu,Rural garden,Partially Obstructed,no,NA,NA,NA,26.6,NA,79.3,27,98.71020408,2017-08-04,09:41:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0048.thumb.jpg,Fruit
NA,NA,C-0048,S-05092,Yes,Very Few (1-3),21.379644,-157.799853,Oahu,Rural garden,Partially Obstructed,no,NA,NA,NA,26.6,NA,79.3,27,98.71020408,2017-08-04,09:41:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0048.thumb.jpg,Fruit
NA,NA,C-0048,S-05099,Yes,Very Few (1-3),21.379644,-157.799853,Oahu,Rural garden,Partially Obstructed,no,NA,NA,NA,26.6,NA,79.3,27,98.71020408,2017-08-04,09:41:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0048.thumb.jpg,Fruit
NA,NA,C-0049,S-05014,Yes,Some (11-25),21.306561,-157.723156,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,26.6,53,66.2,29.5,152.1705202,2017-08-02,10:25:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0049.thumb.jpg,Leaf litter
NA,NA,C-0049,S-05015,Yes,Some (11-25),21.306561,-157.723156,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,26.6,53,66.2,29.5,152.1705202,2017-08-02,10:25:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0049.thumb.jpg,Leaf litter
NA,NA,C-0049,S-05016,Yes,Some (11-25),21.306561,-157.723156,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,26.6,53,66.2,29.5,152.1705202,2017-08-02,10:25:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0049.thumb.jpg,Leaf litter
NA,NA,C-0050,S-05109,Yes,Proliferating (25+),21.379406,-157.799903,Oahu,Rural garden,Partially Obstructed,no,NA,NA,NA,26.4,NA,75.5,27.7,99.32903226,2017-08-04,09:44:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0050.thumb.jpg,Fruit
NA,NA,C-0050,S-05111,Yes,Proliferating (25+),21.379406,-157.799903,Oahu,Rural garden,Partially Obstructed,no,NA,NA,NA,26.4,NA,75.5,27.7,99.32903226,2017-08-04,09:44:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0050.thumb.jpg,Fruit
NA,NA,C-0050,S-05112,Yes,Proliferating (25+),21.379406,-157.799903,Oahu,Rural garden,Partially Obstructed,no,NA,NA,NA,26.4,NA,75.5,27.7,99.32903226,2017-08-04,09:44:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0050.thumb.jpg,Fruit
NA,NA,C-0050,S-05120,Yes,Proliferating (25+),21.379406,-157.799903,Oahu,Rural garden,Partially Obstructed,no,NA,NA,NA,26.4,NA,75.5,27.7,99.32903226,2017-08-04,09:44:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0050.thumb.jpg,Fruit
NA,NA,C-0051,S-05064,Yes,Very Few (1-3),21.359433,-157.805756,Oahu,Wild forest,Full,no,NA,NA,NA,24.4,53,72.9,26,324.9030303,2017-08-03,08:29:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0051.thumb.jpg,Leaf litter
NA,NA,C-0051,S-05073,Yes,Very Few (1-3),21.359433,-157.805756,Oahu,Wild forest,Full,no,NA,NA,NA,24.4,53,72.9,26,324.9030303,2017-08-03,08:29:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0051.thumb.jpg,Leaf litter
NA,NA,C-0052,S-05055,Yes,Proliferating (25+),21.353661,-157.810692,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,22.1,52.5,81.3,24.7,308.0181406,2017-08-03,08:46:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0052.thumb.jpg,Leaf litter
NA,NA,C-0053,S-05061,Yes,Very Few (1-3),21.351381,-157.806161,Oahu,Wild forest,Obstructed,no,NA,NA,NA,22.5,43.5,78.9,24.7,313.2915767,2017-08-03,09:08:00,1,C. oiwi,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0053.thumb.jpg,Flower
NA,NA,C-0054,NA,No,NA,21.353181,-157.808464,Oahu,Wild forest,Full,no,NA,NA,NA,27,33,70.6,26,312.2580071,2017-08-03,08:56:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0054.thumb.jpg,Leaf litter
NA,NA,C-0055,S-05075,Yes,Proliferating (25+),21.354133,-157.810183,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,22.6,57,78.9,24.7,311.9666269,2017-08-03,08:50:00,1,C. oiwi,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0055.thumb.jpg,Flower
NA,NA,C-0055,S-05077,Yes,Proliferating (25+),21.354133,-157.810183,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,22.6,57,78.9,24.7,311.9666269,2017-08-03,08:50:00,1,C. oiwi,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0055.thumb.jpg,Flower
NA,NA,C-0056,NA,Tracks,NA,21.308586,-157.721964,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,25,27,72.3,29.5,278.7562189,2017-08-02,11:17:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0056.thumb.jpg,Leaf litter
NA,NA,C-0057,S-05005,Yes,Few (4-10),21.314214,-157.7226,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,22,35.5,81.5,25.3,436.2609819,2017-08-02,12:04:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0057.thumb.jpg,Fruit
NA,NA,C-0057,S-05007,Yes,Few (4-10),21.314214,-157.7226,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,22,35.5,81.5,25.3,436.2609819,2017-08-02,12:04:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0057.thumb.jpg,Fruit
