isotype,strain,c_label,s_label,worms_on_sample,approximate_number_of_worms,males_observed,latitude,longitude,island,substrate,landscape,sky_view,gridsect,gridsect_number,gridsect_direction,gridsect_radius,substrate_temperature,substrate_moisture,ambient_humidity,ambient_temperature,altitude,date,time,pcr_positive,species_id,photo_url_thumb,fixed_substrate
ECA812,ECA748,C-2880,S-07225,Yes,Proliferating (25+),no,20.039847,-155.441492,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,no,NA,NA,NA,20.1,NA,81.8,22.6,669.9975,2017-08-17,15:00:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2880.thumb.jpg,Fruit/nut/veg
ECA812,ECA750,C-2880,S-07237,Yes,Proliferating (25+),no,20.039847,-155.441492,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,no,NA,NA,NA,20.1,NA,81.8,22.6,669.9975,2017-08-17,15:00:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2880.thumb.jpg,Fruit/nut/veg
ECA812,ECA751,C-2880,S-07239,Yes,Proliferating (25+),no,20.039847,-155.441492,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,no,NA,NA,NA,20.1,NA,81.8,22.6,669.9975,2017-08-17,15:00:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2880.thumb.jpg,Fruit/nut/veg
ECA760,ECA752,C-2880,S-07243,Yes,Proliferating (25+),no,20.039847,-155.441492,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,no,NA,NA,NA,20.1,NA,81.8,22.6,669.9975,2017-08-17,15:00:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2880.thumb.jpg,Fruit/nut/veg
ECA760,ECA753,C-2880,S-07244,Yes,Proliferating (25+),no,20.039847,-155.441492,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,no,NA,NA,NA,20.1,NA,81.8,22.6,669.9975,2017-08-17,15:00:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2880.thumb.jpg,Fruit/nut/veg
ECA812,ECA761,C-2880,S-07323,Yes,Proliferating (25+),no,20.039847,-155.441492,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,no,NA,NA,NA,20.1,NA,81.8,22.6,669.9975,2017-08-17,15:00:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2880.thumb.jpg,Fruit/nut/veg
ECA812,ECA719,C-3114,S-06174,Yes,Few (4-10),no,20.039858,-155.441419,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,no,NA,NA,NA,19.6,NA,81.1,22.6,655.1933333,2017-08-13,09:21:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3114.thumb.jpg,Fruit/nut/veg
ECA807,ECA720,C-3114,S-06175,Yes,Few (4-10),no,20.039858,-155.441419,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,no,NA,NA,NA,19.6,NA,81.1,22.6,655.1933333,2017-08-13,09:21:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3114.thumb.jpg,Fruit/nut/veg
ECA778,ECA721,C-3114,S-06176,Yes,Few (4-10),no,20.039858,-155.441419,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,no,NA,NA,NA,19.6,NA,81.1,22.6,655.1933333,2017-08-13,09:21:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3114.thumb.jpg,Fruit/nut/veg
ECA703,ECA703,C-3133,S-05962,Yes,Few (4-10),no,20.038831,-155.438922,Big Island,Leaf litter,Wild forest,Partially Obstructed,no,NA,NA,NA,18.7,65,75,23.3,649.9944751,2017-08-13,08:44:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3133.thumb.jpg,Leaf litter
ECA705,ECA705,C-3133,S-05984,Yes,Few (4-10),no,20.038831,-155.438922,Big Island,Leaf litter,Wild forest,Partially Obstructed,no,NA,NA,NA,18.7,65,75,23.3,649.9944751,2017-08-13,08:44:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3133.thumb.jpg,Leaf litter
ECA706,ECA706,C-3133,S-05986,Yes,Few (4-10),no,20.038831,-155.438922,Big Island,Leaf litter,Wild forest,Partially Obstructed,no,NA,NA,NA,18.7,65,75,23.3,649.9944751,2017-08-13,08:44:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3133.thumb.jpg,Leaf litter
ECA705,ECA822,C-3133,S-05987,Yes,Few (4-10),no,20.038831,-155.438922,Big Island,Leaf litter,Wild forest,Partially Obstructed,no,NA,NA,NA,18.7,65,75,23.3,649.9944751,2017-08-13,08:44:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3133.thumb.jpg,Leaf litter
ECA768,ECA772,C-3155,S-07385,Yes,Some (11-25),no,20.039908,-155.441503,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,yes,3,B,2,21.5,NA,NA,NA,655.4036697,2017-08-17,14:53:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3155.thumb.jpg,Fruit/nut/veg
ECA777,ECA777,C-3155,S-07414,Yes,Some (11-25),no,20.039908,-155.441503,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,yes,3,B,2,21.5,NA,NA,NA,655.4036697,2017-08-17,14:53:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3155.thumb.jpg,Fruit/nut/veg
ECA778,ECA778,C-3155,S-07415,Yes,Some (11-25),no,20.039908,-155.441503,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,yes,3,B,2,21.5,NA,NA,NA,655.4036697,2017-08-17,14:53:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3155.thumb.jpg,Fruit/nut/veg
ECA812,ECA704,C-3164,S-05967,Yes,Some (11-25),no,20.039783,-155.441517,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,no,NA,NA,NA,21.2,NA,75.9,23.3,667.7007299,2017-08-13,09:24:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3164.thumb.jpg,Fruit/nut/veg
ECA778,ECA707,C-3164,S-06003,Yes,Some (11-25),no,20.039783,-155.441517,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,no,NA,NA,NA,21.2,NA,75.9,23.3,667.7007299,2017-08-13,09:24:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3164.thumb.jpg,Fruit/nut/veg
ECA778,ECA708,C-3164,S-06025,Yes,Some (11-25),no,20.039783,-155.441517,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,no,NA,NA,NA,21.2,NA,75.9,23.3,667.7007299,2017-08-13,09:24:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3164.thumb.jpg,Fruit/nut/veg
ECA778,ECA709,C-3164,S-06026,Yes,Some (11-25),no,20.039783,-155.441517,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,no,NA,NA,NA,21.2,NA,75.9,23.3,667.7007299,2017-08-13,09:24:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3164.thumb.jpg,Fruit/nut/veg
ECA760,ECA754,C-3189,S-07266,Yes,Some (11-25),no,20.039869,-155.441464,Big Island,Leaf litter,Wild forest,Partially Obstructed,yes,3,A,1,21.6,68.5,85.7,21.9,653.640118,2017-08-17,14:50:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3189.thumb.jpg,Leaf litter
ECA812,ECA755,C-3189,S-07267,Yes,Some (11-25),no,20.039869,-155.441464,Big Island,Leaf litter,Wild forest,Partially Obstructed,yes,3,A,1,21.6,68.5,85.7,21.9,653.640118,2017-08-17,14:50:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3189.thumb.jpg,Leaf litter
ECA760,ECA758,C-3197,S-07305,Yes,Some (11-25),no,20.039886,-155.441531,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,yes,3,F,1,19.4,NA,76.5,23.3,651.980315,2017-08-17,14:57:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3197.thumb.jpg,Fruit/nut/veg
ECA812,ECA759,C-3197,S-07306,Yes,Some (11-25),no,20.039886,-155.441531,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,yes,3,F,1,19.4,NA,76.5,23.3,651.980315,2017-08-17,14:57:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3197.thumb.jpg,Fruit/nut/veg
ECA807,ECA770,C-3201,S-07378,Yes,Proliferating (25+),no,20.039869,-155.441531,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,yes,3,A,0,19.4,NA,78.2,24,649.3469388,2017-08-17,14:58:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3201.thumb.jpg,Fruit/nut/veg
ECA812,ECA774,C-3201,S-07388,Yes,Proliferating (25+),no,20.039869,-155.441531,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,yes,3,A,0,19.4,NA,78.2,24,649.3469388,2017-08-17,14:58:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3201.thumb.jpg,Fruit/nut/veg
ECA812,ECA775,C-3201,S-07391,Yes,Proliferating (25+),no,20.039869,-155.441531,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,yes,3,A,0,19.4,NA,78.2,24,649.3469388,2017-08-17,14:58:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3201.thumb.jpg,Fruit/nut/veg
ECA812,ECA776,C-3201,S-07392,Yes,Proliferating (25+),no,20.039869,-155.441531,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,yes,3,A,0,19.4,NA,78.2,24,649.3469388,2017-08-17,14:58:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3201.thumb.jpg,Fruit/nut/veg
ECA807,ECA807,C-3201,S-07395,Yes,Proliferating (25+),no,20.039869,-155.441531,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,yes,3,A,0,19.4,NA,78.2,24,649.3469388,2017-08-17,14:58:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3201.thumb.jpg,Fruit/nut/veg
ECA812,ECA809,C-3205,S-07424,Yes,Few (4-10),no,20.039783,-155.441481,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,no,NA,NA,NA,19,NA,77.9,23.3,648.3991416,2017-08-17,15:00:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3205.thumb.jpg,Fruit/nut/veg
ECA812,ECA783,C-3205,S-07430,Yes,Few (4-10),no,20.039783,-155.441481,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,no,NA,NA,NA,19,NA,77.9,23.3,648.3991416,2017-08-17,15:00:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3205.thumb.jpg,Fruit/nut/veg
ECA760,ECA784,C-3205,S-07431,Yes,Few (4-10),no,20.039783,-155.441481,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,no,NA,NA,NA,19,NA,77.9,23.3,648.3991416,2017-08-17,15:00:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3205.thumb.jpg,Fruit/nut/veg
ECA760,ECA785,C-3205,S-07432,Yes,Few (4-10),no,20.039783,-155.441481,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,no,NA,NA,NA,19,NA,77.9,23.3,648.3991416,2017-08-17,15:00:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3205.thumb.jpg,Fruit/nut/veg
ECA812,ECA787,C-3205,S-07460,Yes,Few (4-10),no,20.039783,-155.441481,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,no,NA,NA,NA,19,NA,77.9,23.3,648.3991416,2017-08-17,15:00:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3205.thumb.jpg,Fruit/nut/veg
